"api","description","category","updated"
"colr.org","color and color scheme service","other","2011-08-08"
"comic vine","comic book reference database","other","2009-05-26"
"commontimes","community based media distribution","other","2005-10-04"
"convio","non profit online fundraising","other","2007-10-25"
"copyscape","content theft prevention service","other","2009-12-04"
"corpwatch","corporation accountability research service","other","2010-03-05"
"creative commons","licensing engine integration","other","2005-09-04"
"cross.io","cross service syndication","other","2011-12-19"
"crowdflower","crowdsourcing service","other","2010-11-29"
"crowdin","collaborative translation service","other","2010-10-27"
"css mania","css showcases","other","2010-12-15"
"data8 country detection","country mapping and geolocation service","other","2010-04-21"
"developer garden scout24","german marketplace service","other","2012-01-30"
"dribbble","webdesign showcase","other","2010-12-16"
"dropcash","fundraising tools","other","2006-02-15"
"dropstr","cloud management service","other","2010-08-24"
"ebay feedback","ebay seller ratings monitoring service","other","2011-10-24"
"ebay resolution case management","ebay transaction complaint resolution management service","other","2011-10-24"
"engagd","attention data management platform","other","2007-08-05"
"esidewalk","community networking site","other","2006-02-05"
"everyscape","visual digital tour service","other","2012-01-26"
"extraterrestrial embassy","extraterrestrial sighting reporting service","other","2011-11-09"
"ezinearticles","ezine article database","other","2010-07-19"
"family echo family tree","family tree visualization for genealogy","other","2011-06-30"
"family photoloom","family tree and photo service","other","2011-12-19"
"familysearch","genealogical search and family tree service","other","2011-12-19"
"feedflow","feed monitoring service","other","2006-02-23"
"fellowship one","church database service","other","2009-08-27"
"fitbook","fitness data recording and vizualization service","other","2010-03-09"
"flig.ht data","aviation and geo data service","other","2010-01-28"
"font squirrel","font retrieval and generation service","other","2011-12-08"
"fonts.com","font and web font service","other","2011-08-09"
"friendfeed","activity stream aggregator","other","2008-03-25"
"genealogycloud onegreatfamily","genealogy and family tree service","other","2011-12-19"
"geni","genealogy service","other","2010-12-20"
"genomequest","biological data managment platform","other","2010-03-26"
"geomena","open geo database of wifi access points","other","2010-04-12"
"gliffy","online flowcharting and diagramming service","other","2009-08-02"
"goodreads","book search and social book services","other","2008-10-09"
"google chart","chart creation service","other","2007-12-06"
"google contacts","contact list management","other","2008-03-05"
"google font","web font service","other","2010-05-21"
"google gears","tools for offline browser extensions","other","2007-05-31"
"google o3d","3d api for web browsers","other","2009-04-22"
"google virtual keyboard","vritual keyboard service","other","2009-06-24"
"google visualization","display and visualization of structured data","other","2008-03-24"
"graphmagic","graph and chart services","other","2005-09-12"
"grid5000","computer science research group","other","2011-05-20"
"guidewire","property and casualty insurance billing services","other","2010-11-19"
"gxchart","chart generation service","other","2011-11-19"
"haystack networking","social networking for business","other","2006-10-10"
"helioviewer","solar and heliospheric data access","other","2010-05-13"
"igoogle themes","google homepage design service","other","2008-01-19"
"itsthisforthat","random startup idea generator","other","2011-08-10"
"itunes and itunes connect","itunes app store and itunes connect data source","other","2010-03-26"
"kintera","fundraising and donor management","other","2008-02-11"
"kuler","adobe web service for creating color themes","other","2007-09-01"
"layar","mobile augmented reality service","other","2009-10-16"
"litmus","cross-browser compatibility testing","other","2008-01-06"
"living stones","bible lookup service","other","2006-04-11"
"logmein rescue","account information service","other","2011-07-07"
"lulu publishing","programmatically publish and sell books","other","2007-12-04"
"meaningtool","semantic meaning service","other","2009-03-14"
"mecanbe","time and goal organization service","other","2010-10-20"
"mediapiston","content creation provider","other","2011-09-08"
"metalayer","data visualization service","other","2011-12-09"
"microsoft silverlight streaming","streaming application management service","other","2007-05-01"
"mimvi","mobile apps search engine","other","2010-07-29"
"mobile java push","mobile content service","other","2009-06-17"
"musestorm","web services tools","other","2007-04-01"
"myanimelist unofficial","anime collection reference service","other","2010-01-18"
"myrobots","cloud robotics service","other","2012-01-17"
"myshows","television viewing service","other","2011-08-12"
"network for good donation","online giving and donations service","other","2011-11-11"
"newspaper club","newspaper printing service","other","2011-08-12"
"nhxs","contract compliance services","other","2011-05-16"
"openaid","swedish aid tracker","other","2011-11-21"
"openbmap","find gps position of cellular networks","other","2010-11-29"
"openeco","greenhouse gas production tracking service","other","2008-12-19"
"opengeotracker","gps data tracking platform","other","2010-06-28"
"oxygen.next","online digital signage service","other","2010-04-18"
"pachube","realtime device and buildings monitoring","other","2009-10-28"
"paperback swap","book exchange service","other","2011-08-09"
"paspartout","online portfolio service","other","2011-07-19"
"pathfinder","air cargo tracking service","other","2006-04-17"
"pc2paper letter pricing","digital mail service","other","2011-08-30"
"pgxn","postgresql metadata distribution service","other","2011-08-15"
"powershop","electrical power purchasing service","other","2012-01-17"
"prefinery","beta program invitation and management service","other","2010-02-24"
"punchtab","customer loyalty program","other","2011-10-25"
"quotes on design","random quote generator","other","2010-12-29"
"random house","book search and viewing service","other","2007-08-15"
"raw sugar","web directory service","other","2006-03-06"
"recreation.gov","federal recreation database","other","2011-09-20"
"rst2a","format conversion service","other","2010-10-18"
"shareasale affiliate","affiliate marketing network reports","other","2010-11-15"
"sharedbook","on-demand reverse publishing system","other","2007-04-10"
"sitepal server","speaking avatar creation service","other","2010-06-15"
"skyhook wireless","wifi positioning services","other","2006-07-29"
"smarkets","social prediction market","other","2010-05-11"
"snipplr","source code sharing service","other","2007-12-30"
"snipplr","source code repository","other","2009-02-28"
"social actions","volunteer and charity opportunities services","other","2008-09-14"
"sonatype nexus","development repository manager","other","2010-12-16"
"sourcemap","understand the green impact of supply chains","other","2009-12-28"
"sparked","microvolunteering platform","other","2011-11-15"
"sparklines","graph generation service","other","2006-04-01"
"stickybits","attach digital content to barcodes","other","2010-06-17"
"straight-street","icon database search service","other","2009-12-10"
"strikeiron","api marketplace services","other","2006-09-27"
"strikeiron address distance","calculation of distances between addresss","other","2006-08-23"
"strikeiron us addresses","us address verification service","other","2006-08-29"
"subj3ct","semantic web subject identity resolution service","other","2009-08-21"
"sweetspot","diabetes management service","other","2010-04-18"
"tabblo","web based printing service from hp","other","2007-07-02"
"teamdesk","web based database application service","other","2006-12-18"
"teliasonera contacts","address book organization tool","other","2010-11-30"
"testcover.com","software testing service","other","2012-01-10"
"thankthank notes","hand-written thank you note service","other","2011-08-29"
"the astrologer","authentic astrology and horoscopes content","other","2007-05-15"
"thingspeak","networked device information platform","other","2011-06-14"
"thingspeak charts","networked device information platform","other","2011-06-14"
"topicalizer","document analysis service","other","2006-03-23"
"touchatag configurator","ubiquitous identity services","other","2011-07-14"
"tradesports","online sports betting exchange","other","2006-11-12"
"trynt","term extraction service","other","2006-05-21"
"tutorials garden","online tutorials service","other","2007-01-29"
"twiddla","real-time online meeting and collaboration tool","other","2010-03-29"
"unglue.it","digital content relicensing service","other","2012-01-19"
"urban airship","mobile push notification platform","other","2010-03-24"
"usasearch product recall data","product recall data","other","2011-09-23"
"viapost","send postal mail from electronic documents","other","2009-05-26"
"voice delivery system","voice synthesis service","other","2010-03-31"
"voices.com","voice actor and voice over talent services","other","2008-06-15"
"voo2do","task management","other","2006-02-14"
"wattvision","home energy measurement service","other","2010-12-29"
"we feel fine","art project that harvests feelings from blogs","other","2007-08-05"
"wiserearth","environmentalists online community","other","2009-07-15"
"withings","connected health devices","other","2011-08-16"
"wordy","spelling and grammar check service","other","2010-03-26"
"wufoo","online forms creation service","other","2007-03-17"
"xnat","medical imaging informatics platform","other","2010-12-17"
"yahoo address book","address book service for yahoo accounts","other","2008-06-04"
"zeo sleep measurement","individual sleep records service","other","2010-10-04"
"zipcodes","simple zip code lookup service","other","2005-10-31"
"zoomclouds","tag cloud service","other","2006-03-01"
"zumbox","digital postal mail service","other","2011-08-12"
"zypr","api aggregation service","other","2011-11-08"
"accumulus","subscription billing service","payment","2010-12-14"
"achworks","online transaction service","payment","2012-01-10"
"aepona","mobile cloud hosting service","payment","2011-11-21"
"albany everify","payment verification service","payment","2011-09-01"
"amazon flexible payments service","ecommerce payments service","payment","2007-08-03"
"at&t payment","payments service","payment","2012-01-12"
"authorize.net","internet based payment gateway services","payment","2007-02-20"
"bango direct billing","mobile payment service","payment","2011-11-19"
"bango subscription billing","subscription billing service","payment","2011-11-15"
"bankcard central verepay","ecommerce gateway","payment","2011-08-30"
"billeo active ewallet","online payments management service","payment","2012-01-12"
"bitcoin charts / markets","bitcoin market data service","payment","2011-10-25"
"bluevia mobile payment","telephony payment service","payment","2011-09-01"
"boku","mobile payments service","payment","2011-07-14"
"braintree","online payment processing service","payment","2011-05-12"
"buxter","transfer money over facebook","payment","2010-03-16"
"centili","mobile payments service","payment","2012-01-27"
"chargify","online recurring payments service","payment","2009-10-16"
"cheddargetter","subscription-based payment and management service","payment","2009-08-23"
"cybersource simple","online payment service","payment","2010-08-27"
"data8 credit card validation","credit card validation service","payment","2011-02-22"
"developer garden clickandbuy","payment interface service","payment","2012-01-25"
"dwolla","online payment processing service","payment","2010-12-21"
"e-xact","online payment gateway provider","payment","2010-12-29"
"electronic merchant systems","ecommerce services","payment","2011-08-23"
"eway","online payments gateway","payment","2012-01-27"
"facebook credits","digital and virtual goods payment service","payment","2011-01-26"
"facecash","mobile payment processing service","payment","2011-11-21"
"fee fighters samurai","payments gateway","payment","2011-11-15"
"first data global gateway","transaction processing and payment service","payment","2011-11-30"
"firstgiving","charitable donation processing service","payment","2011-04-07"
"fortumo mobile payments","mobile payment platform","payment","2011-02-22"
"giving impact","donor communications service","payment","2011-11-01"
"go processing","mobile payments service","payment","2011-10-07"
"gocardless","online payments gateway","payment","2012-01-27"
"google apps marketplace","integrate google billing services with applications","payment","2010-12-29"
"gotobilling","online payment service","payment","2012-01-11"
"idirectdebit","payment processing service","payment","2011-09-22"
"igolder","payment service for exchanging gold","payment","2011-11-21"
"innovative merchant solutions","payment processing service","payment","2011-09-02"
"intellivative","payment processing service","payment","2009-01-17"
"intuit payments connect","easily connect to intuit payment services and quickbooks merchant services (qbms)","payment","2011-04-01"
"invoicera","invoicing & billing service","payment","2011-06-17"
"ip commerce","payment platform with single integration access to leading payment providers","payment","2010-10-01"
"ipaydna","online payment service","payment","2012-01-10"
"ixaris opn","online payment service","payment","2010-12-10"
"junglepay","mobile payment and billing service","payment","2011-11-21"
"justgiving","online charity fundraising tool","payment","2011-04-26"
"klarna","ecommerce service","payment","2011-12-13"
"letgive","direct donation platform","payment","2011-10-19"
"linkpoint","customizable payment processing services","payment","2008-07-27"
"liqpay","online billing and payment service","payment","2009-11-29"
"mastercard payments","credit card payment processing service","payment","2011-02-09"
"mobicart","mobile commerce management service","payment","2011-11-15"
"moneybookers","online payments service","payment","2009-01-01"
"mpayy","online and mobile payments","payment","2009-10-11"
"mpp global solutions","ecommerce payment platform","payment","2011-07-07"
"netmobo feefactor","mobile payment platform","payment","2010-10-20"
"olo","online ordering service","payment","2012-01-24"
"optimalpayments netbanx","online credict card payment service","payment","2011-11-21"
"orange payline","electronic payment service","payment","2011-02-10"
"paxum","ewallet payment service","payment","2012-01-27"
"payleap","electronic payment service","payment","2009-07-09"
"payment vision pay","payment processing service","payment","2009-05-30"
"paymentexpress","online credit card processing service","payment","2011-11-19"
"payments gateway","online payment service","payment","2010-10-28"
"paynearme","cash payment service","payment","2011-11-15"
"paypal","online payments","payment","2005-09-04"
"paypal adaptive accounts","online payment service","payment","2010-12-29"
"paypal adaptive payments","online payment service","payment","2010-12-03"
"paypal masspay","online payment service","payment","2010-12-29"
"paypal payflow pro","online payment service","payment","2010-12-29"
"plastyc","online payment and money management service","payment","2010-05-28"
"playspan","virtual currency monetization service","payment","2010-04-28"
"plimus buy anyware","software registration service","payment","2011-09-08"
"powerpay","payment processing service","payment","2011-11-23"
"poxpay","payment verification service","payment","2011-07-14"
"recurly","subscription billing service","payment","2010-02-18"
"regal technologies devconnect","payment and fraud detection service","payment","2012-01-26"
"sagepay reporting and admin","secure online payments service","payment","2010-11-19"
"secure hosting","secure online payment service","payment","2012-01-09"
"sellaround","ecommerce service","payment","2011-09-27"
"smartdebit","direct debiting service","payment","2011-10-07"
"social gold","online gaming payment and virtual currency service","payment","2010-04-21"
"splitable","cost splitting application service","payment","2012-01-24"
"spreedly","subscription payment service","payment","2009-08-16"
"stripe","online payment service","payment","2011-10-17"
"sveawebpay","online credit card and installment payment service","payment","2011-11-21"
"telenor payment","content access billing service","payment","2011-02-11"
"trustcommerce","payment processing services","payment","2008-08-02"
"v.me by visa","online payment service","payment","2011-11-21"
"vantiv solution builder","payment processing simplified","payment","2011-04-01"
"venmo","social payments tools","payment","2011-02-02"
"virtapay","virtual currency payment service","payment","2011-12-05"
"wepay","online payment service","payment","2010-12-29"
"xsolla","in game payments service","payment","2012-01-27"
"xwebcheckout","online shopping cart/checkout service","payment","2011-11-21"
"zaypay","micropayments via sms services","payment","2008-05-11"
"zong","mobile payments for web publishers","payment","2010-03-31"
"10x10","photo and news analysis service","photos","2010-12-08"
"23","photo sharing service","photos","2006-02-13"
"3defy","online 3d modelling service","photos","2011-11-15"
"500px","online community for photographers","photos","2011-10-18"
"aol pictures","online photo management","photos","2006-10-02"
"appspotimage","image manipulation service","photos","2009-05-08"
"aviary effects","photo filter and effects service","photos","2011-03-20"
"aviary mobile","mobile image editing service","photos","2011-11-23"
"aviary web","image editing service","photos","2011-07-12"
"baba change","photo sharing service","photos","2011-08-30"
"betaface","face detection and recognition service","photos","2011-01-26"
"bluemelon","photo sharing and storage service","photos","2011-07-05"
"bums.se","photo sharing and storage service","photos","2011-08-23"
"burstn","instant photo sharing and storage service","photos","2010-12-29"
"buzznet","photo sharing","photos","2005-10-30"
"cheezburger","online humor and lolcat service","photos","2009-09-02"
"cortexica","image recognition service","photos","2011-10-18"
"cozimo","online image and video collaboration","photos","2011-01-19"
"cutcaster","stock photography and images marketplace","photos","2011-10-18"
"cyclomedia globespotter","local panoramic visualizations","photos","2010-12-29"
"dailybooth","social photo sharing service","photos","2010-12-29"
"dipity","interactive timeline creation services","photos","2008-08-02"
"expono","photo storage and sharing service","photos","2010-05-05"
"exposuremanager","photograph sales service","photos","2011-07-18"
"face.com","face recognition","photos","2010-05-04"
"facedetection","image recognition service","photos","2010-08-13"
"fanfeedr image","sports photos service","photos","2011-10-28"
"featurepics","stock photography provider","photos","2011-07-28"
"fishup","online photo sharing service","photos","2010-08-19"
"flauntr","photo editing service","photos","2012-01-31"
"flickr","photo sharing service","photos","2005-09-04"
"flickr real-time","realtime photo updates from flickr","photos","2011-08-19"
"fonxvard","image manipulation service","photos","2010-02-09"
"fotki","photo sharing service","photos","2011-11-29"
"fotobabble","talking photo service","photos","2011-10-11"
"fotoflexer","online image editor","photos","2007-09-12"
"fotolia","royalty free stock photos","photos","2007-01-01"
"fotomoto","image marketplace service","photos","2011-09-08"
"frinly","photo sharing service","photos","2010-06-28"
"fspic","photo sharing for the foursquare service","photos","2010-01-31"
"geograph","british isles photo service","photos","2008-02-24"
"glosk","location based photo search","photos","2011-03-04"
"google picasa","photo management and sharing service","photos","2007-03-23"
"image pack","image editing tool","photos","2011-12-06"
"imagecollect","celebrity photo library","photos","2012-01-23"
"imageloop","animated slideshow service","photos","2007-01-14"
"img.ly","photo sharing service","photos","2010-06-15"
"imgur","photo sharing service","photos","2010-09-29"
"instagram","mobile photo sharing service","photos","2010-12-15"
"instagram real-time","real-time image sharing service","photos","2011-02-24"
"iq engines","image recognition service","photos","2010-07-27"
"istockphoto","royalty free stock photos","photos","2008-03-08"
"kooaba query","image recognition service","photos","2011-04-11"
"lockerz","photo sharing service","photos","2010-12-29"
"locr","photo geotagging and sharing service","photos","2011-07-19"
"lookstat","microstock photographer solution service","photos","2012-01-25"
"ltu engine/on demand","image matching and search","photos","2011-08-29"
"magickly","image manipulation service","photos","2011-04-29"
"mediasock","photo management and sharing service","photos","2008-07-18"
"mlkshk","image sharing service","photos","2011-06-27"
"mobypicture","mobile photo sharing service","photos","2008-12-15"
"moo","web based printing service","photos","2008-05-26"
"moodstocks","image recognition and search service","photos","2010-12-08"
"mugr","face recognition service","photos","2008-01-01"
"online ocr","web based ocr service","photos","2011-08-30"
"ookaboo","creative commons photo search service","photos","2010-09-08"
"orange personal photos","mobile photo sharing","photos","2008-03-29"
"panoramio","photo upload site with organizer and geolocation","photos","2007-06-12"
"peecho","digital content to print documents service","photos","2011-10-18"
"pho.to","online photo editing and presentation platform","photos","2008-12-27"
"photobucket","online photo sharing service","photos","2008-04-29"
"photopoll","photo sharing and poll service","photos","2011-10-07"
"photoshelter","web solution for photographers","photos","2010-12-16"
"photoshow","photo management service","photos","2009-03-26"
"photoxpress","digital image store","photos","2011-07-14"
"photozou","photo sharing service","photos","2010-12-29"
"picapp","photo sharing service","photos","2010-03-09"
"picmember","photo sharing service","photos","2010-10-18"
"picnik","online photo editing service","photos","2007-11-04"
"picozu","photo and drawing editing and retouching application","photos","2011-12-06"
"picplz","photo sharing and filtering platform","photos","2011-01-26"
"picscout","image management service","photos","2011-07-19"
"picwing printing","photo printing service","photos","2010-12-14"
"picyou","photo sharing service","photos","2011-09-22"
"piczasso","photo hosting service","photos","2011-08-02"
"pikeo","picture sharing service","photos","2007-10-07"
"pixagogo","online photo services","photos","2006-02-14"
"pixenate","online photo editing","photos","2007-10-27"
"pixlinq searchimage","mobile visual search","photos","2011-08-22"
"pixlr","photo editing service","photos","2009-06-08"
"pixmac","stock photo service","photos","2011-03-24"
"pizap","online photo editing service","photos","2011-08-23"
"postcard on the run","photo to postcard service","photos","2011-09-08"
"riya","photo search","photos","2006-06-17"
"shootproof","photograph proofing sharing and selling platform","photos","2011-12-23"
"shutter","photo and video sharing service","photos","2011-11-15"
"shutterfly","photo printing service","photos","2010-12-09"
"shutterpoint","stock photography service","photos","2007-05-22"
"shutterstock","photo sharing and storage service","photos","2011-02-10"
"smugmug","photo sharing service","photos","2005-11-01"
"snapfish publisher","photo printing service","photos","2010-03-29"
"snapr","real-time geosocial photosharing service","photos","2011-01-26"
"snipshot","online photo editing service","photos","2006-12-13"
"steply","photo sharing mobile application","photos","2011-02-22"
"tap2print","photo apps monetization service","photos","2012-02-01"
"thinglink","image interaction service","photos","2011-10-03"
"thumbalizr","thumbnail images of websites service","photos","2008-09-25"
"thumbnail ninja","image hosting and distribution","photos","2008-11-28"
"tineye","reverse image search","photos","2011-02-03"
"touchnote","create custom cards from photos","photos","2009-11-03"
"tweetphoto","twitter photo sharing service","photos","2009-05-08"
"twitpic","share photos on twitter","photos","2009-01-31"
"twitrpix","photo sharing service for twitter","photos","2009-05-30"
"twitsnaps","twitter photo sharing","photos","2009-10-07"
"twitxr","mobile photo sharing","photos","2008-03-01"
"twivatar","twitter avatar service","photos","2009-06-17"
"utata","photo sharing platform","photos","2011-02-28"
"veer","stock photo illustration and font provider","photos","2011-08-01"
"viewbook","online photo sharing/management service","photos","2011-03-24"
"webpurify image filter","automated image moderation service","photos","2010-12-17"
"webresizer","online image editing tool","photos","2008-11-25"
"webshots","photo sharing service","photos","2006-06-27"
"windows live spaces photo","photo management services","photos","2007-12-17"
"windows live spaces photo control","programmable widget for blog photos","photos","2007-05-01"
"xmgimage","photo sharing and editing","photos","2007-11-12"
"yandex fotok","photo sharing service","photos","2011-02-22"
"zenfolio","photo sharing platform","photos","2010-12-08"
"zimagez","image hosting service","photos","2011-08-12"
"zoom.it","photo conversion and sharing service","photos","2010-12-17"
"zooomr","photo and text message sharing service","photos","2008-07-13"
"zoto","photo sharing service","photos","2006-03-01"
"agiletask","task tracking application for agile projects","pim","2010-11-02"
"catch.com","content capturing and notes application","pim","2011-11-15"
"checklist.com","personal task list service","pim","2011-04-14"
"checkvist","online collaborative outliner and task list management","pim","2011-01-18"
"doit","task management system","pim","2010-12-20"
"done","task management tool","pim","2011-01-04"
"doris","personal productivity and task management","pim","2009-09-19"
"google tasks","personal task list service","pim","2011-05-13"
"hiveminder","to-do list managment service","pim","2009-03-14"
"intervals","time tracking and task management tools","pim","2011-01-18"
"librarious","personal collection catalog","pim","2011-01-21"
"mychores","chore/task tracking and management","pim","2011-02-28"
"nozbe","personal productivity service using gtd","pim","2007-09-01"
"piins contacts","web based contact management","pim","2008-07-13"
"plancake","task management service","pim","2011-04-01"
"remember the milk","personal information management","pim","2006-05-18"
"syncode synotes","note taking and management apps","pim","2010-12-20"
"taskforce","service that converts emails to tasks","pim","2011-08-29"
"tasko","task management service","pim","2011-04-01"
"tiktrac","timesheet management","pim","2007-02-04"
"todo.ly","to do list service","pim","2011-03-18"
"todoist","personal task list service","pim","2011-08-04"
"toggl","time tracking service","pim","2009-03-26"
"toodledo","to-do list management","pim","2006-11-19"
"windows live contacts","contacts database","pim","2007-05-01"
"windows live contacts control","contacts control","pim","2006-10-18"
"abundant world population","population information service","politics","2012-01-16"
"5pm","project and time management tools","project management","2010-12-29"
"88 miles","project time tracking services","project management","2008-08-14"
"aceproject","project management enhancement service","project management","2011-08-08"
"agile bench","agile project management tool","project management","2010-12-21"
"agilezen","web based lean project management application","project management","2011-01-31"
"assembla","online project collaboration service","project management","2008-02-10"
"attask","on demand project management software","project management","2011-02-15"
"backlog","project management software","project management","2011-09-27"
"basecamp","project collaboration service","project management","2006-03-29"
"bunker app","project management platform","project management","2011-12-02"
"clarizen","project management and collaboration platform","project management","2010-02-07"
"cloudwords","translation project management platform","project management","2011-08-04"
"co-op","project time tracking and tasks","project management","2009-01-24"
"codaset","project management software","project management","2010-12-07"
"cohuman","project task coordination tool","project management","2011-03-04"
"comindwork","online project collaboration service","project management","2009-01-11"
"conceptshare","design and review collaboration services","project management","2008-04-27"
"econz timecard","mobile timesheet integration service","project management","2011-10-17"
"flow.io","project management service","project management","2010-12-14"
"freckle","time tracking service","project management","2010-05-05"
"goplan","online project management","project management","2007-03-17"
"harvest","project time tracking and tasks","project management","2008-03-08"
"huddle","project management and collaboration service","project management","2008-08-14"
"innotas","project portfolio management services","project management","2008-04-27"
"interstate developers","project development roadmaps tool","project management","2011-07-14"
"iron.io ironworker","task and project management system","project management","2011-12-09"
"lighthouse","bug and issue tracking","project management","2008-08-06"
"liquidplanner","project management software","project management","2010-11-01"
"onedesk","product management platform","project management","2012-01-27"
"origo","software development and collaboration platform","project management","2011-04-23"
"pivotaltracker","project management service","project management","2010-02-11"
"planbox","project management service","project management","2011-09-22"
"redmine","project management service","project management","2011-08-23"
"rescuetime","time tracking services","project management","2008-06-09"
"scrumdesk","scrum project management tool","project management","2011-06-28"
"scrumworks pro","agile project management software","project management","2011-06-20"
"scrumy","agile project management tool","project management","2010-12-17"
"simprove workity","online collaboration and project management service","project management","2011-12-13"
"syncd","project time tracking and tasks","project management","2008-05-01"
"teamly","task tracking tool","project management","2011-03-08"
"teamwork live","project management software","project management","2011-08-12"
"teamworkpm","project management service","project management","2011-04-01"
"telenav track","location based monitoring and reporting service","project management","2011-10-17"
"tickspot","project time tracking and tasks","project management","2008-10-31"
"timelog","time tracking and project management service","project management","2011-07-18"
"tinypm","service for agile software development teams","project management","2009-08-13"
"trello","project management platform","project management","2012-01-19"
"unfuddle","bug and issue tracking","project management","2007-12-18"
"viewpath","online project management service","project management","2011-11-15"
"vitalist","project tracking and tasks","project management","2008-08-31"
"wbp systems torch","project management software","project management","2010-03-10"
"wipee list","to-do list services","project management","2008-11-26"
"wizehive","collaborative workspace service","project management","2011-08-12"
"yast","time tracking and project management service","project management","2011-12-02"
"zen","personal project managment service","project management","2010-03-09"
"agent storm","real estate systems connection","real estate","2010-03-31"
"agentrank","real estate agent sales forecasts and reviews","real estate","2008-03-23"
"daft","irish real estate site","real estate","2011-02-02"
"dezrez","real estate listing service","real estate","2011-04-11"
"fizber neighborhoods","neighborhood data service","real estate","2008-06-21"
"foreclosurelistings.com","real estate foreclosures","real estate","2009-11-01"
"getyouridx","real estate idx services","real estate","2009-11-22"
"home hippo property portal","online real estate portal","real estate","2010-11-02"
"homefinder.com","real estate listing service","real estate","2010-06-15"
"idealista","spanish real estate portal","real estate","2011-10-18"
"immobilienscout24","real estate search in germany","real estate","2008-12-07"
"listingware","listings search service","real estate","2011-01-18"
"mortgage marvel","mortgage rate quotes service","real estate","2008-04-12"
"national buyer listing service","real estate buyer data sharing service","real estate","2010-04-25"
"nestoria","uk real estate listings","real estate","2006-07-29"
"new york times real estate","real estate listings and sale prices","real estate","2009-04-06"
"onboard informatics","real estate listings and search service","real estate","2010-05-06"
"onboard lifestyle search","real estate listings and search service","real estate","2011-01-26"
"onboard points of interest","real estate listings and search service","real estate","2011-01-26"
"onboard property search","real estate listings and search service","real estate","2011-01-26"
"petaproperti","indonesian real estate service","real estate","2010-12-21"
"planningalerts","alerts service for uk local planning alerts","real estate","2007-05-29"
"real estate cloud mls","real estate multiple listing service","real estate","2011-11-21"
"realtors property resource","real estate data service","real estate","2011-10-28"
"realtybaron agents","find a real estate agent service","real estate","2009-05-30"
"realtybaron answers","real estate question and answer service","real estate","2010-03-29"
"rentometer","realestate pricing services","real estate","2007-09-01"
"rentrange rental rate","real estate pricing service","real estate","2010-01-11"
"rentrent","craigslist rentals data service","real estate","2008-09-07"
"revo","real estate listing and promotion platform","real estate","2011-10-31"
"rezora","online marketing for real estate professionals","real estate","2011-01-04"
"streeteasy","new york real estate search and information","real estate","2012-01-12"
"trulia","real estate search","real estate","2007-02-21"
"valueappeal","property tax appeal service","real estate","2010-12-07"
"walk score","real estate walk score service","real estate","2010-01-31"
"xweb real estate","mortgage loan application service","real estate","2012-01-20"
"zillow","real estate pricing and valuations and mortgage rates","real estate","2006-10-26"
"zoopla","property and real estate search engine","real estate","2011-10-18"
"zooproperty","real estate listings and data hub","real estate","2011-06-14"
"alternativeto","software application recommendations","recommendations","2010-08-19"
"appinions","opinion aggregation platform","recommendations","2011-02-15"
"baynote","recommendations service","recommendations","2007-10-09"
"beliefnetworks","semantic intelligence site recommendations service","recommendations","2009-01-27"
"blippr","recommendations service","recommendations","2009-03-30"
"boo-box","recommendation service","recommendations","2008-01-27"
"cleverset","recommendations service for ecommerce sites","recommendations","2007-12-17"
"criteo","distributed recommendation service","recommendations","2007-01-30"
"easyrec","recommendation software","recommendations","2011-07-26"
"easyutil","recommendation service","recommendations","2006-02-14"
"evri","recommendations and semantic search service","recommendations","2008-12-14"
"filmaster","movie review and recommendation service","recommendations","2011-01-19"
"gigpark","local recommendations service","recommendations","2011-01-21"
"goodguide","green healthy product ratings","recommendations","2011-04-29"
"localmind","location based q&a","recommendations","2011-04-21"
"loomia","recommendation service","recommendations","2007-10-12"
"moviepilot","movie search information and recommendation service","recommendations","2010-03-24"
"mycitymate location","local user reviews and city guides","recommendations","2008-09-20"
"navnelabarotoriets (name laboratory)","dutch baby name recommendations","recommendations","2011-11-25"
"needish","price quote service","recommendations","2009-03-06"
"notches","distributed user reviews service","recommendations","2008-03-16"
"parse.ly recommendations","recommendations platform","recommendations","2010-12-17"
"patient opinion","uk health ratings service","recommendations","2011-02-03"
"praized","local user reviews and search service","recommendations","2008-10-23"
"qype","local reviews service","recommendations","2009-01-31"
"rapleaf personalization","email personalization service","recommendations","2011-03-21"
"rateitall","user reviews database and services","recommendations","2008-11-30"
"rotten tomatoes","movie information and reviews database","recommendations","2011-04-26"
"rummble labs","business and personal recommendations","recommendations","2011-06-28"
"snooth","wine recommendations service","recommendations","2009-03-22"
"strands social recommender","social recommendations api","recommendations","2010-05-06"
"stylefeeder","recommendations service","recommendations","2008-04-27"
"subsift","research community resource","recommendations","2011-04-07"
"sugestio","online recommendation engine","recommendations","2011-03-18"
"target","semantic targeting and personalization service","recommendations","2010-04-25"
"tastekid","taste discovery service","recommendations","2010-12-29"
"tellmewhere","location sharing service","recommendations","2010-09-28"
"thisnext","social shopping service","recommendations","2008-04-12"
"trakt.tv","television tracking and recommendation service","recommendations","2011-03-09"
"trustedplaces","local user reviews and city guides","recommendations","2008-04-13"
"vegan guide","vegan establishment search tools","recommendations","2011-02-28"
"vizimo","tv recommendations service","recommendations","2009-04-03"
"welovelocal","local business search and recommendation service","recommendations","2010-02-24"
"welovelocal","local user reviews and city guides","recommendations","2008-01-01"
