"species","last recorded","status","&nbsp;&nbsp;       2004 -2010","2011","notes"
"prunus cerasus (dwarf cherry)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"prunus domestica (wild plum)","1987-1999","alien","yes","a","&nbsp;"
"prunus laurocerasus (cherry laurel)","1987-1999","alien","&nbsp;yes","&nbsp;","&nbsp;"
"prunus padus (bird cherry)","1987-1999","native","&nbsp;     yes","a","&nbsp;"
"prunus spinosa (blackthorn)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"pseudofumaria lutea (yellow corydalis)","1970-1986","alien","&nbsp;yes","&nbsp;","&nbsp;"
"pseudotsuga menziesii (douglas fir)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"pteridium aquilinum (bracken)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"puccinellia distans (reflexed saltmarsh-grass)","1987-1999","native","&nbsp;","&nbsp;",""
"puccinellia maritima (common saltmarsh-grass)","1987-1999","native","&nbsp;  yes","","team/tyne confluence"
"puccinellia rupestris (stiff saltmarsh-grass)","pre-1970","native","&nbsp;","&nbsp;","&nbsp;"
"pulicaria dysenterica (common fleabane)","1970-1986","native","&nbsp;","&nbsp;","&nbsp;"
"pulmonaria officinalis (lungwort)","1987-1999","alien","&nbsp;yes","&nbsp;","&nbsp;"
"pyracantha coccinea (firethorn)","recorded since 1999","alien","yes","&nbsp;","&nbsp;"
"pyrola media (intermediate wintergreen)","pre-1970","native","&nbsp;","&nbsp;","&nbsp;"
"pyrola minor (common wintergreen)","1987-1999","native","yes","&nbsp;","&nbsp;"
"pyrus communis sens. lat. (pears)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"quercus cerris (turkey oak)","1987-1999","alien","&nbsp;yes","&nbsp;","&nbsp;"
"quercus ilex (evergreen oak)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"quercus petraea (sessile oak)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"quercus petraea x q. robur (hybrid oak)","1987-1999","native","&nbsp;","a","&nbsp;"
"quercus robur (pedunculate oak)","1987-1999","native","yes","&nbsp;","&nbsp;"
"quercus rubra (red oak)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"radiola linoides (allseed)","pre-1970","native","extinct","extinct","&nbsp;"
"ranunculus acris (meadow buttercup)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"ranunculus aquatilis (common water-crowfoot)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"ranunculus auricomus (goldilocks buttercup)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"ranunculus bulbosus (bulbous buttercup)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"ranunculus ficaria subsp. bulbilifer (bulbil lesser       celandine)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"ranunculus ficaria subsp. ficaria (lesser celandine)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"ranunculus flammula (lesser spearwort)","1987-1999","native","&nbsp;&nbsp;yes","&nbsp;","&nbsp;"
"ranunculus fluitans (river water-crowfoot)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"ranunculus hederaceus (ivy-leaved crowfoot)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;several populations on ravensworth fell"
"ranunculus lingua (greater spearwort)","1987-1999","native","yes","&nbsp;","&nbsp;"
"ranunculus parviflorus (small-flowered buttercup)","pre-1970","native","&nbsp;","&nbsp;","&nbsp;"
"ranunculus peltatus (pond water-crowfoot)","1970-1986","native","2005 only","&nbsp;","&nbsp;"
"ranunculus penicillatus (stream water-crowfoot)","1987-1999","native","2005 only","&nbsp;","recently  recorded in the river tyne in pools below wylam bridge nz1264 in both  vc66 and vc67."
"ranunculus penicillatus subsp.pseudofl.","1970-1986","native","&nbsp;","&nbsp;","&nbsp;"
"ranunculus repens (creeping buttercup)","1987-1999","native","&nbsp;&nbsp;yes","a","&nbsp;"
"ranunculus sardous (hairy buttercup)","pre-1970","native","&nbsp;","&nbsp;","&nbsp;"
"ranunculus sceleratus (celery-leaved buttercup)","1987-1999","native","yes","a","&nbsp;"
"ranunculus trichophyllus (thread-leaved water-crowfoot)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"raphanus raphanistrum subsp. landra (mediterranean       radish)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"raphanus raphanistrum subsp.raphanistru (wild       radish)","1987-1999","alien","yes","&nbsp;","&nbsp;"
"rapistrum rugosum (bastard cabbage)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"reseda alba (white mignonette)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"reseda lutea (wild mignonette)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"reseda luteola (weld)","1987-1999","alien","&nbsp;yes","&nbsp;","&nbsp;"
"rheum x hybridum (rhubarb)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"rhinanthus angustifolius (greater yellow-rattle)","pre-1970","alien","extinct","extinct","&nbsp;"
"rhinanthus minor subsp. minor (yellow rattle)","1987-1999","native","&nbsp;&nbsp;yes","a","NULL"
"rhododendron ponticum (rhododendron)","1987-1999","alien","&nbsp;yes","&nbsp;","&nbsp;"
"rhynchospora alba (white beak-sedge)","pre-1970","native","extinct","extinct","&nbsp;"
"ribes alpinum (mountain currant)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"ribes nigrum (black currant)","1987-1999","alien","&nbsp;yes","&nbsp;","&nbsp;"
"ribes rubrum (red currant)","1987-1999","native","&nbsp;&nbsp;&nbsp;yes","&nbsp;","&nbsp;"
"ribes sanguineum (flowering currant)","1987-1999","alien","&nbsp;&nbsp;&nbsp;yes","&nbsp;","&nbsp;"
"ribes spicatum (downy currant)","1970-1986","native","&nbsp;","&nbsp;","&nbsp;"
"ribes uva-crispa (gooseberry)","1987-1999","alien","yes","a","&nbsp;"
"robinia pseudoacacia (false-acacia)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"rorippa microphylla (narrow-fruited water-cress)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"rorippa microphylla x r. nasturtium-aq. (hybrid       water-cress)","1970-1986","native","&nbsp;","&nbsp;","&nbsp;"
"rorippa nasturtium-aquaticum (water-cress)","1987-1999","native","&nbsp;     yes","&nbsp;","&nbsp;"
"rorippa palustris (marsh yellow-cress)","1970-1986","native","&nbsp;","&nbsp;","&nbsp;"
"rorippa sylvestris (creeping yellow-cress)","1987-1999","native","&nbsp;","a","&nbsp;"
"rosa agrestis (small-leaved sweet-briar)","pre-1970","native","&nbsp;","&nbsp;","&nbsp;"
"rosa arvensis (field-rose)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"rosa caesia subsp. caesia (hairy dog-rose)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"rosa caesia subsp. glauca (glaucous dog-rose)","1987-1999","native","yes","&nbsp;","&nbsp;"
"rosa caesia x r. canina (r. x dumalis)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"rosa canina (dog-rose)","1987-1999","native","&nbsp;     yes","a","&nbsp;"
"rosa micrantha (small-flowered sweet-briar)","pre-1970","native","&nbsp;","&nbsp;","&nbsp;"
"rosa mollis (soft downy-rose)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"rosa multiflora","recorded since 1999","alien","&nbsp;yes","&nbsp;","&nbsp;"
"rosa pimpinellifolia (burnet rose)","1987-1999","native","yes","&nbsp;","&nbsp;"
"rosa pimpinellifolia x r. sherardii","pre-1970","native","&nbsp;","&nbsp;","&nbsp;"
"rosa rubiginosa (sweet-briar)","1987-1999","native","yes","&nbsp;","&nbsp;"
"rosa rugosa (japanese rose)","1987-1999","alien","yes","&nbsp;","&nbsp;"
"rosa sherardii (sherard's downy-rose)","1987-1999","native","yes","&nbsp;","&nbsp;"
"rubus caesius (dewberry)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"rubus fruticosus agg. (brambles)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"rubus idaeus (raspberry)","1987-1999","native","yes","a","&nbsp;"
"rubus loganobaccus (loganberry)","1987-1999","alien","&nbsp;","&nbsp;","burdon moor &amp; axwell park"
"rubus spectabilis (salmonberry)","1987-1999","alien","&nbsp;","&nbsp;","100s of bushes in axwell park"
"rumex acetosa (common sorrel)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"rumex acetosella (sheep's sorrel)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"rumex conglomeratus (clustered dock)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"rumex crispus (curled dock)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"rumex crispus x r. obtusifolius&nbsp;","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"rumex hydrolapathum (water dock)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"rumex maritimus (golden dock)","pre-1970","native","extinct","extinct","&nbsp;"
"rumex obtusifolius (broad-leaved dock)","1987-1999","native","&nbsp;&nbsp;yes","&nbsp;","&nbsp;"
"rumex palustris (marsh dock)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"rumex patientia (patience dock)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"rumex pseudoalpinus (monk's-rhubarb)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"rumex sanguineus (wood dock)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"rumex sanguineus var sanguineus (bloody dock)","recorded since 1999","alien","&nbsp;","&nbsp;","&nbsp;"
"rumex scutatus (french sorrel)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"ruscus aculeatus (butcher's-broom)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"sagina apetala subsp. apetala&nbsp; (annual pearlwort)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"sagina apetala subsp. erecta&nbsp;&nbsp;","1970-1986","native","&nbsp;","&nbsp;","&nbsp;"
"sagina maritima (sea pearlwort)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"sagina nodosa (knotted pearlwort)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"sagina procumbens (procumbent pearlwort)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"sagina subulata (heath pearlwort)","pre-1970","native","&nbsp;","&nbsp;","&nbsp;"
"salicornia agg. (glassworts)","pre-1970","native","&nbsp;","&nbsp;","&nbsp;"
"salix alba (white willow)","1987-1999","alien","&nbsp;&nbsp;yes","a","&nbsp;"
"salix aurita (eared willow)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"salix aurita x s. cinerea&nbsp;","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"salix aurita x s. repens&nbsp;","pre-1970","native","&nbsp;","&nbsp;","&nbsp;"
"salix caprea (goat willow)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"salix caprea x s. cinerea&nbsp;&nbsp;","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"salix caprea x s. viminalis (broad-leaved osier)","1970-1986","native","yes","&nbsp;","&nbsp;"
"salix cinerea subsp. oleifolia (grey willow)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"salix cinerea x s. viminalis (silky-leaved osier)","1970-1986","native","&nbsp;","&nbsp;","&nbsp;"
"salix daphnoides (european violet-willow)","pre-1970","alien","extinct","extinct","&nbsp;recorded in 1922 team valley"
"salix fragilis (crack-willow)","1987-1999","alien","&nbsp;&nbsp;yes","&nbsp;","&nbsp;"
"salix fragilis x s. pentandra (shiny-leaved willow)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"salix myrsinifolia (dark-leaved willow)","1970-1986","native","&nbsp;","&nbsp;","&nbsp;"
"salix myrsinifolia x s. phylicifolia&nbsp;","1970-1986","native","&nbsp;","&nbsp;","&nbsp;"
"salix pentandra (bay willow)","1987-1999","native","yes","&nbsp;","&nbsp;"
"salix phylicifolia (tea-leaved willow)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"salix purpurea (purple willow)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"salix purpurea x s. viminalis (green-leaved willow)","1987-1999","native","&nbsp;     yes","&nbsp;","&nbsp;"
"salix repens (creeping willow)","pre-1970","native","extinct","extinct","&nbsp;"
"salix triandra (almond willow)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"salix viminalis (osier)","1987-1999","alien","&nbsp;yes","a","&nbsp;"
"salsola kali subsp. kali (prickly saltwort)","pre-1970","native","extinct","extinct","&nbsp;"
"salvia verbenaca (wild clary)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"salvia verticillata (whorled clary)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"sambucus canadensis (american elder)","1987-1999","alien","&nbsp;yes","&nbsp;","&nbsp;"
"sambucus ebulus (dwarf elder)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"sambucus nigra (elder)","1987-1999","native","yes","a","&nbsp;"
"sambucus racemosa (red-berried elder)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"sanguisorba minor subsp. minor (salad burnet)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"sanguisorba minor subsp. muricata (fodder burnet)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"sanguisorba officinalis (great burnet)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"sanicula europaea (sanicle)","1987-1999","native","yes","a","&nbsp;"
"saponaria officinalis (soapwort)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"saxifraga granulata (meadow saxifrage)","1987-1999","native","&nbsp;","&nbsp;","lamesley"
"saxifraga spathularis x s. umbrosa (londonpride)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"scabiosa columbaria (small scabious)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"scandix pecten-veneris (shepherd's-needle)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"schoenoplectus lacustris (common club-rush)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"schoenoplectus tabernaemontani (grey club-rush)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"schoenus nigricans (black bog-rush)","pre-1970","native","extinct","extinct","&nbsp;"
"scirpus sylvaticus (wood club-rush)","1970-1986","native","yes","&nbsp;","&nbsp;"
"scleranthus annuus (annual knawel)","pre-1970","native","&nbsp;yes","&nbsp;","&nbsp;"
"scrophularia auriculata (water figwort)","1987-1999","native","yes","&nbsp;","&nbsp;"
"scrophularia nodosa (common figwort)","1987-1999","native","yes","&nbsp;","&nbsp;"
"scutellaria galericulata (skullcap)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"securigera varia (crown vetch)","1987-1999","alien","&nbsp;yes","&nbsp;","timber beach 2006 - 2008 but present since for many     years&nbsp; fellside road&nbsp;"
"sedum acre (biting stonecrop)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"sedum album (white stonecrop)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"sedum anglicum (english stonecrop)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"sedum rupestre (reflexed stonecrop)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"sedum spectabile (butterfly-stonecrop)","recorded since 1999","alien","&nbsp;2004 only","&nbsp;","&nbsp;"
"sedum spurium (caucasian-stonecrop)","1970-1986","alien","&nbsp;yes","&nbsp;","&nbsp;"
"sedum telephium (orpine)","pre-1970","native","extinct","extinct","&nbsp;"
"selaginella selaginoides (lesser clubmoss)","pre-1970","native","extinct","extinct","&nbsp;"
"senecio aquaticus (marsh ragwort)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"senecio aquaticus x s. jacobaea&nbsp;&nbsp;","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"senecio cineraria (silver ragwort)","1987-1999","alien","&nbsp;","a","&nbsp;"
"senecio erucifolius (hoary ragwort)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"senecio jacobaea (common ragwort)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"senecio squalidus (oxford ragwort)","1987-1999","alien","&nbsp;yes","a","&nbsp;"
"senecio squalidus x s. viscosus","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"senecio squalidus x s. vulgaris","1970-1986","native","&nbsp;","&nbsp;","&nbsp;"
"senecio sylvaticus (heath groundsel)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"senecio viscosus (sticky groundsel)","1987-1999","alien","yes","&nbsp;","&nbsp;"
"senecio vulgaris (groundsel)","1987-1999","native","&nbsp;&nbsp;&nbsp;yes","a","&nbsp;"
"sequoia sempervirens (coastal redwood)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"sequoiadendron giganteum (wellingtonia)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"serratula tinctoria (saw-wort)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"sesleria caerulea (blue moor-grass)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"setaria viridis (green bristle-grass)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"sherardia arvensis (field madder)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"silaum silaus (pepper-saxifrage)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"silene conica (sand catchfly)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"silene dioica (red campion)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"silene dioica x s. latifolia (red x white campion       hybrid)","1987-1999","native","&nbsp;","a","&nbsp;"
"silene gallica (small-flowered catchfly)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"silene latifolia (white campion)","1987-1999","alien","&nbsp;yes","a","&nbsp;"
"silene noctiflora (night-flowering catchfly)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"silene vulgaris (bladder campion)","1987-1999","native","yes","a","&nbsp;"
"silybum marianum (milk thistle)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"sinapis alba (white mustard)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"sinapis arvensis (charlock)","1987-1999","alien","&nbsp;yes","a","&nbsp;"
"sisymbrium altissimum (tall rocket)","1987-1999","alien","&nbsp;yes","&nbsp;","&nbsp;"
"sisymbrium officinale (hedge mustard)","1987-1999","alien","yes","&nbsp;","&nbsp;"
"sisymbrium orientale (eastern rocket)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"sisymbrium strictissimum (perennial rocket)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"sisyrinchium bermudiana (blue-eyed-grass)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"sium latifolium (greater water-parsnip)","pre-1970","native","extinct","extinct","&nbsp;"
"smyrnium olusatrum (alexanders)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"smyrnium perfoliatum (perfoliate alexanders)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"solanum dulcamara (bittersweet)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"solanum nigrum (black nightshade)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"solanum tuberosum (potato)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"soleirolia soleirolii (mind-your-own-business)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"solidago canadensis (canadian goldenrod)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"solidago gigantea (early goldenrod)","1987-1999","alien","yes","&nbsp;","&nbsp;"
"solidago virgaurea (goldenrod)","1987-1999","native","yes","&nbsp;","&nbsp;"
"sonchus arvensis (perennial sow-thistle)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"sonchus asper (prickly sow-thistle)","1987-1999","native","&nbsp;&nbsp;yes","&nbsp;","&nbsp;"
"sonchus oleraceus (smooth sow-thistle)","1987-1999","native","&nbsp;&nbsp;yes","&nbsp;","&nbsp;"
"sorbus aria (common whitebeam)","1987-1999","alien","&nbsp;yes","&nbsp;","&nbsp;"
"sorbus aucuparia (rowan)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"sorbus hybrida (swedish service-tree)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"sorbus intermedia&nbsp;","1987-1999","alien","&nbsp;yes","a","&nbsp;"
"sparganium emersum (unbranched bur-reed)","1970-1986","native","&nbsp;","&nbsp;","&nbsp;"
"sparganium erectum (branched bur-reed)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"sparganium natans (least bur-reed)","pre-1970","native","extinct","extinct","&nbsp;"
"spartium junceum (spanish broom)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"spergula arvensis (corn spurrey)","1987-1999","alien","&nbsp;yes","&nbsp;","&nbsp;"
"spergularia marina (lesser sea-spurrey)","1987-1999","native","yes","&nbsp;","team/tyne confluence"
"spergularia media (greater sea-spurrey)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"spergularia rubra (sand spurrey)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"spiraea salicifolia (bridewort)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"spiraea douglasii x s. salicifolia (confused bridewort)","not in atlas","alien","&nbsp;yes","&nbsp;","&nbsp;present at ravensworth fell since at least      1980s"
"spirodela polyrhiza (greater duckweed)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"stachys annua (annual yellow-woundwort)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"stachys arvensis (field woundwort)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"stachys officinalis (betony)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"stachys palustris (marsh woundwort)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"stachys palustris x s. sylvatica (hybrid woundwort)","1970-1986","native","yes","&nbsp;","&nbsp;"
"stachys recta (perennial yellow-woundwort)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"stachys sylvatica (hedge woundwort)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"stellaria graminea (lesser stitchwort)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"stellaria holostea (greater stitchwort)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"stellaria media (common chickweed)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"stellaria nemorum (wood stitchwort)","1987-1999","native","yes","&nbsp;","&nbsp;"
"stellaria palustris (marsh stitchwort)","pre-1970","native","&nbsp;","&nbsp;","&nbsp;"
"stellaria uliginosa (bog stitchwort)","1987-1999","native","yes","a","&nbsp;"
"stratiotes aloides (water-soldier)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"suaeda maritima (annual sea-blite)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"suaeda vera (shrubby sea-blite)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"succisa pratensis (devil's-bit scabious)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"symphoricarpos albus (snowberry)","1987-1999","alien","&nbsp;yes","&nbsp;","&nbsp;"
"symphytum asperum x s. officinale (russian comfrey)","1987-1999","alien","yes","&nbsp;","&nbsp;"
"symphytum officinale (common comfrey)","1987-1999","native","yes","a","&nbsp;"
"symphytum orientale (white comfrey)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"symphytum tuberosum (tuberous comfrey)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"syringa vulgaris (lilac)","1987-1999","alien","&nbsp;yes","&nbsp;","&nbsp;"
"tamus communis (black bryony)","1970-1986","native","&nbsp;","&nbsp;","&nbsp;"
"tanacetum parthenium (feverfew)","1987-1999","alien","&nbsp;&nbsp;yes","&nbsp;","&nbsp;"
"tanacetum vulgare (tansy)","1987-1999","native","yes","&nbsp;","&nbsp;"
"taraxacum agg. (dandelions)","1987-1999","native","&nbsp;&nbsp;yes","a","&nbsp;"
"taxus baccata (yew)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"telekia speciosa (yellow oxeye)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"teucrium chamaedrys (wall germander)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"teucrium scorodonia (wood sage)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"thalictrum flavum (common meadow-rue)","pre-1970","native","&nbsp;","&nbsp;","&nbsp;"
"thalictrum minus (lesser meadow-rue)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"thlaspi arvense (field penny-cress)","1987-1999","alien","&nbsp;yes","a","&nbsp;"
"thlaspi caerulescens (alpine penny-cress)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"thymus polytrichus (wild thyme)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"tilia cordata (small-leaved lime)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"tilia cordata x t. platyphyllos (lime)","1987-1999","alien","&nbsp;yes","&nbsp;","&nbsp;"
"tilia platyphyllos (large-leaved lime)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"torilis japonica (upright hedge-parsley)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"torilis nodosa (knotted hedge-parsley)","1970-1986","native","&nbsp;","&nbsp;","&nbsp;"
"tragopogon pratensis (goat's-beard)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"trichophorum cespitosum (deergrass)","pre-1970","native","&nbsp;","&nbsp;","&nbsp;"
"trientalis europaea (chickweed-wintergreen)","pre-1970","native","&nbsp;","&nbsp;","&nbsp;"
"trifolium arvense (hare's-foot clover)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"trifolium campestre (hop trefoil)","1987-1999","native","&nbsp;     yes","&nbsp;","&nbsp;"
"trifolium dubium (lesser trefoil)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"trifolium fragiferum (strawberry clover)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"trifolium hybridum (alsike clover)","1987-1999","alien","yes","&nbsp;","&nbsp;"
"trifolium medium (zigzag clover)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"trifolium micranthum (slender trefoil)","1970-1986","native","&nbsp;","&nbsp;","&nbsp;"
"trifolium pratense (red clover)","1987-1999","native","&nbsp;&nbsp;yes","a","&nbsp;"
"trifolium repens (white clover)","1987-1999","native","yes","a","&nbsp;"
"trifolium scabrum (rough clover)","pre-1970","native","&nbsp;","&nbsp;","&nbsp;"
"trifolium squamosum (sea clover)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"trifolium striatum (knotted clover)","pre-1970","native","&nbsp;","&nbsp;","&nbsp;"
"triglochin maritimum (sea arrowgrass)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"triglochin palustre (marsh arrowgrass)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"tripleurospermum inodorum (scentless mayweed)","1987-1999","alien","&nbsp;&nbsp;yes","a","&nbsp;"
"tripleurospermum maritimum (sea mayweed)","1987-1999","native","yes","&nbsp;","&nbsp;"
"trisetum flavescens (yellow oat-grass)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"triticum aestivum (bread wheat)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"trollius europaeus (globeflower)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"tropaeolum majus (nasturtium)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
