"table name","table type","rating","# of ratings","historic era","author(s)","download"
"mmm cracker","original","","","2003","wrenchien","NULL"
"monaco","electro-mechanical","","","1981 segasa (spain)","marc bouchard","NULL"
"monday night football","vpinmame","4.5","2","1989 data east usa inc.","destruk","aj"
"mondo station","original","","","2003","wrenchien","NULL"
"money madness","original","","","2003","andrew mortimer","NULL"
"monicker (novelty)","electro-mechanical","6.5","2","1941 bally manufacturing corporation","druadic","NULL"
"monicker","electro-mechanical","","","1941 bally manufacturing corporation","druadic","NULL"
"monopoly","vpinmame","7.3","6","2001 stern pinball inc.","kid charlemagne","aj"
"monster bash","vpinmame","8.3","16","1998 williams_electronic games inc.","anonymous","aj"
"monte carlo '63","electro-mechanical","4.0","1","1963 bally manufacturing corporation","leon spalding (leo wanker)","NULL"
"monte carlo '72","electro-mechanical","5.0","1","1972 bally manufacturing corporation","loserman","NULL"
"monte carlo","vpinmame","7.5","4","1987 gottlieb / premier","destruk lander tab xtrememame","aj"
"monty python","original","","","2001","wayne phillips","NULL"
"monza","solid state","6.3","3","1980 atari inc.","aussie34 & tab","NULL"
"moody 2","original","","","2003","crimson pluck","NULL"
"moon ball","original","","","2003","wrenchien","NULL"
"moon crater","original","","","2002","tii","NULL"
"moon flight","electro-mechanical","6.0","2","1976 zaccaria (italy)","dave sanders","NULL"
"more baaaaaad dreams","original","","","2003","wrenchien","NULL"
"motor show","vpinmame","","","1989 mr. game","tab destruk","aj"
"motordome","vpinmame","6.0","1","1986 bally midway mfg. co.","destruktab","aj"
"motorsports","original","6.0","1","2002","andrew mortimer","NULL"
"mousetrap","original","","","2001","?","NULL"
"mousin' around","solid state","","","1989 midway mfg. co. a subsidiary of wms industries inc.","group","NULL"
"mousin' around","vpinmame","6.8","5","1989 midway mfg. co. a subsidiary of wms industries inc.","group","aj"
"mpc walls","original","","","2001","?","NULL"
"mr. & mrs. pac-man","vpinmame","9.0","1","1982 bally manufacturing corporation","shockman","aj"
"mr. do run run","original","8.0","1","2001","mike hanson","NULL"
"mr. do","original","7.5","2","2001","mike hanson","NULL"
"munro tabletop hockey","electro-mechanical","5.0","1","1944 munro games","freewheel","NULL"
"music swirl","original","","","2003","alexander kowalski","NULL"
"musical table","original","","","2003","paul e l","NULL"
"mustang","electro-mechanical","7.3","3","1977 gottlieb","brettski/cowboy/luvthatapex","NULL"
"my first tablegame room","original","","","2003","utplayer2 pinwizkid & mitchell","NULL"
"my first table","original","","","2003","utplayer2 pinwizkid & mitchell","NULL"
"mysterious cities of gold the","original","","","2003","anthias","NULL"
"mysterious","original","","","2001","?","NULL"
"mystery castle","vpinmame","","","1993 alvin g & co.","tab / destruk","aj"
"mystic marvel","electro-mechanical","8.0","1","1954 gottlieb","jay phillips","NULL"
"mystic star","vpinmame","8.0","1","1986 zaccaria (italy)","destruk/tab/inkochnito","aj"
"mystic","solid state","3.0","1","1980 bally manufacturing corporation","satch & joe entropy","NULL"
"mystic","vpinmame","7.0","2","1980 bally manufacturing corporation","NULL","aj"
"n.w.o. pinball","original","","","2002","rayzzor","NULL"
"nags","electro-mechanical","6.8","4","1960 williams electronic manufacturing co.","duglis","NULL"
"nano ball","original","","","2002","wrenchien","NULL"
"narnia","original","","","2004","dizzidi","NULL"
"nba fast break","vpinmame","","","1997 midway mfg. co. a subsidiary of wms industries inc.","aurian","aj"
"nba fastbreak","vpinmame","8.5","10","1997 midway mfg. co. a subsidiary of wms industries inc.","aurian","aj"
"nearsighted archery","original","","","2003","dizzidi","NULL"
"nebulus","original","","","2002","tii","NULL"
"necromundia","original","","","2001","d.l. azagthoth","NULL"
"necrontyr","original","","","2003","lanceradvanced","NULL"
"neon rocket","original","","","2004","tii","NULL"
"neptune","computer game remake","","","1993 21st century","brian smith","NULL"
"nergy","original","","","2003","obelisk","NULL"
"nes pinball","computer game remake","","","2003","hakyoku seiken","NULL"
"net nuisances","original","","","2003","proginoskes","NULL"
"never rest zero","original","","","2003","wrenchien","NULL"
"never rest","original","","","2002","wrenchien","NULL"
"neverwinter nights","original","","","2002","dark lord azagthoth","NULL"
"new plinko! the","original","5.0","1","2002","douglas","NULL"
"new world (playmatic 1976)","electro-mechanical","","","1976 playmatic","eala dubh","NULL"
"next zone the","original","","","2002","med murashoot","NULL"
"nfl","vpinmame","10.0","1","2001 stern electronics inc.","joep tab destruk","aj"
"nhl face off","original","","","2003","mikepin","NULL"
"niagara","electro-mechanical","","","1951 gottlieb","furio","NULL"
"night mission","computer game remake","","","1982 sublogic","ripleyyy & joe entropy","NULL"
"night moves","vpinmame","","","1989 international concepts","tab/destruk","aj"
"night rider (em)","electro-mechanical","","","1976 bally manufacturing corporation","loserman","NULL"
"night rider (ss)","vpinmame","","","1976 bally manufacturing corporation","gerhard/germax","aj"
"nightmare","original","7.0","1","2001","?","NULL"
"nine ball","vpinmame","8.0","1","1980 stern electronics inc.","luvthatapex & destruk","aj"
"ninja gun","original","3.5","2","2002","wrenchien","NULL"
"nip-it (wrenchien)","electro-mechanical","5.0","1","1972 bally manufacturing corporation","wrenchien","NULL"
"nip-it","electro-mechanical","5.0","1","1972 bally manufacturing corporation","warrior & xtrememame","NULL"
"nitro ground shaker","solid state","","","1978 bally manufacturing corporation","gerhard & crew","NULL"
"nitro ground shaker","vpinmame","7.5","2","1978 bally manufacturing corporation","tab nitrodude & inkochnito","aj"
"no fear dangerous sports","vpinmame","","","1995 williams_electronic games inc.","dr. doom","aj"
"no good gofers","vpinmame","8.0","9","1997 williams_electronic games inc.","bluetex/destruk","aj"
"north star","electro-mechanical","6.0","2","1964 gottlieb","leon spalding","NULL"
"not necessarily acoustic","original","8.0","2","2001","sphere","NULL"
"now that's woody","original","","","2002","tii","NULL"
"noyze","original","","","2002","nashua and wayne","NULL"
"nuclear war","original","","","2002","kirk k.uhlmann","NULL"
"nudge it","vpinmame","","","1990 gottlieb / premier","destruk","aj"
"nugent","vpinmame","6.7","3","1978 stern electronics inc.","NULL","aj"
"oba oba","solid state","","","1978 taito do brasil","dox & maloti","NULL"
"oba oba","vpinmame","","","1978 taito do brasil","dox maloti & destruk","aj"
"ocean blue flipperless","original","","","2003","andrew mortimer","NULL"
"ocean life","original","","","2002","pinman","NULL"
"odds & evens","electro-mechanical","","","1973 bally manufacturing corporation","jeff","NULL"
"odin deluxe","vpinmame","","","1985 sonic","destruk tab inkochnito gaston","aj"
"odin","vpinmame","","","1985 peyper","destruk tab inkochnito gaston","aj"
"odisea paris-dakar","vpinmame","","","1987 peyper","destruk tab","aj"
"office","historic","7.0","2","1932 mills novelty co.","druadic","irpinball"
"oh! my goddess! pinball","original","8.0","1","2002","angeleyeuk aka chris smout","NULL"
"ohm bot","original","4.0","1","2002","tii","NULL"
"ok pinball","original","","","2002","makin","NULL"
"oklahoma","electro-mechanical","5.5","2","1961 gottlieb","patrick (liberty)","NULL"
"old chicago","electro-mechanical","5.0","1","1976 bally manufacturing corporation","loserman","NULL"
"old coney island!","solid state","","","1979 game plan inc.","eala dubh","NULL"
"old coney island!","vpinmame","","","1979 game plan inc.","destruk","aj"
"old faithful","electro-mechanical","","","1949 gottlieb","duglis & steveir","NULL"
"olde king cole","electro-mechanical","","","1948 gottlieb","duglis & robair","NULL"
"oli zweiter tisch","original","","","2003","?","NULL"
"olympics","electro-mechanical","7.0","1","1962 gottlieb","robair","NULL"
"omni","shuffle bowl","","","1980 williams electronics inc.","destruk tab","NULL"
"on beam","electro-mechanical","8.0","1","1968 bally manufacturing corporation","leon spalding (leo wanker)","NULL"
"one","original","","","2001","-","NULL"
"open source table","original","","","2001","hans olo","NULL"
"operation thunder","solid state","","","1992 gottlieb / premier","zaphod","NULL"
"operation thunder","vpinmame","8.0","3","1992 gottlieb / premier","zaphod destruk & scapino","aj"
"op-pop-pop","electro-mechanical","5.0","1","1968 bally manufacturing corporation","philbert","NULL"
"orange county choppers","original","","","2003","nissananimal","NULL"
"orbit 1","vpinmame","","","1978 a. hankin & co.","aussie34","aj"
"orbit","electro-mechanical","7.5","2","1972 gottlieb","jay phillips","NULL"
"orbitor 1","vpinmame","","","1982 stern electronics inc.","destruk & skalar","aj"
"ouija board","original","","","2002","cold1","NULL"
"out of sight","electro-mechanical","6.0","1","1974 gottlieb","redswal","NULL"
"outback flipperless","original","","","2003","dizzidi","NULL"
"owl girl","original","","","2003","wrenchien","NULL"
"oxo","electro-mechanical","7.0","2","1973 williams electronic manufacturing corp.","leon spalding","NULL"
"pac - attack","original","","","2003","bki68","NULL"
"pachinko pinball - sexy reaction","original","","","2002","angeleyeuk","NULL"
"pachinko","original","6.5","2","2002","nissananimal","NULL"
"pachislot","original","","","2002","simeon bradshaw","NULL"
"pacman","original","","","2003","cold1","NULL"
"pacman's castle","original","8.0","1","2001","pinman","NULL"
"pac-pinball","original","","","2001","geno17","NULL"
"pac-thru","original","","","2003","gerhard & crew","NULL"
"paddock","electro-mechanical","8.0","1","1969 williams electronics inc.","bendigo","NULL"
"pagan pinball ii: druidic forests","original","8.0","1","2002","kinsey","NULL"
"pagan pinball","original","6.3","3","2001","kinsey","NULL"
"palace guard","electro-mechanical","7.0","1","1968 gottlieb","george wright","NULL"
"palisades","electro-mechanical","","","1953 williams electronic manufacturing co.","redswal","NULL"
"pamball","original","","","2002","michael turney","NULL"
"panthera","vpinmame","7.4","5","1980 gottlieb","gerhard & crew","aj"
"paradise","electro-mechanical","9.0","1","1965 gottlieb","bendigo","NULL"
"paragon","solid state","","","1979 bally manufacturing corporation","coroner & joe entropy","NULL"
"paragon","vpinmame","7.7","3","1979 bally manufacturing corporation","coroner & joe entropy","aj"
"parasite eve revised gold","original","","","2002","mitchell","NULL"
"parasite eve","original","7.0","1","2002","mitchell","NULL"
"paratrooper","electro-mechanical","","","1952 williams electronics inc.","redswal","NULL"
"parchis","original","","","2001","?","NULL"
"paris 2004","original","","","2004","patrick (liberty)","NULL"
"paris","original","","","2002","lander","NULL"
"parromania","original","","","2003","wrenchien","NULL"
"party animal","vpinmame","5.0","3","1987 bally midway mfg. co.","nicky special gaston","aj"
"party land","computer game remake","","","- digital illusions","mikepin74","NULL"
"party lights","original","","","2002","carlos_200022","NULL"
"party zone","vpinmame","8.1","12","1991 midway mfg. co. a subsidiary of wms industries inc.","cutter","aj"
"pass it on no. 1","original","","","2003","angeleyeuk axholio chris la mantia desangel fadedknight gravitar hans a.plast mitchell nicolas.b pinwizkid roland scholz subzero1970 and willpower","NULL"
"paul bunyan","electro-mechanical","","","1968 gottlieb","leon spalding (leo wanker)","NULL"
"pee-wee","electro-mechanical","7.0","1","194? genco mfg.","druadic / w. degelmann","NULL"
"pell i khan 0","original","","","2004","wrenchien","NULL"
"pell i khan 2","original","","","2003","wrenchien","NULL"
"pell i khan 3","original","","","2003","wrenchien","NULL"
"pell i khan 4","original","","","2004","wrenchien","NULL"
"pell i khan 5","original","","","2004","wrenchien","NULL"
"pell i khan","original","","","2003","wrenchien","NULL"
"pell i. khan","original","","","2003","wrenchien","NULL"
"pennant fever","vpinmame","6.0","1","1984 williams electronics inc.","destruk","aj"
"petting echo","original","","","2002","bj","NULL"
"phaeton","original","8.0","1","2001","sphere","NULL"
"phantom of the opera","vpinmame","7.7","6","1990 data east usa inc.","christoria and cristof","aj"
"pharaohs tomb","original","7.0","1","2003","martin mortimer","NULL"
"pharaoh","vpinmame","6.0","3","1981 williams electronics inc.","maurice v/d zwaan","aj"
"phoenix","vpinmame","5.3","3","1978 williams electronics inc.","andre","aj"
"picnic","electro-mechanical","","","1958 gottlieb","marc bouchard","NULL"
"pigableplanuts","original","","","2003","wrenchien/rockinghorse","NULL"
"pikapinball","original","","","2001","cameron arnott & friend","NULL"
"pin - air - hockey","original","10.0","1","2002","w. degelmann","NULL"
"pinball & tilts","original","7.0","1","2002","mitchell","NULL"
"pinball 2010","original","","","2002","terry briggs","NULL"
"pinball champ","solid state","","","1983 zaccaria (italy)","luvthatapex","NULL"
"pinball champ","vpinmame","7.0","1","1983 zaccaria (italy)","destruk & luvthatapex","aj"
"pinball lizard","vpinmame","7.0","1","1980 game plan inc.","luvthatapex and destruk","aj"
"pinball magic","vpinmame","9.0","1","1995 capcom coin-op inc.","destruk/tab/cliffy","aj"
"pinball pool","solid state","","","1979 gottlieb","robair","NULL"
"pinball wizard","computer game remake","6.0","1","1987 ?","lander","NULL"
"pinballhockey","original","5.0","1","2002","ken miller","NULL"
"pinball","solid state","","","1977 stern electronics inc.","jim lang (nicky special mod)","NULL"
"pinball","vpinmame","","","1977 stern electronics inc.","-","aj"
"pinbot 2002","original","7.3","3","2002","ser","NULL"
"pin-bot","vpinmame","","","1986 williams_electronic games inc.","andre & destruk","aj"
"pin-breakout","original","5.0","1","2002","eric helser","NULL"
"pink panther","solid state","","","1981 gottlieb","luvthatapex","NULL"
"pink panther","vpinmame","6.0","4","1981 gottlieb","luvthatapex & eala dubh","aj"
"pinkeye","original","","","2003","wrenchien","NULL"
"pinman baseball","original","","","2001","steve (pinman)","NULL"
"pinman","original","","","2002","tii","NULL"
"pins 2","original","","","2004","matt allum","NULL"
"pins","original","","","2004","matt allum","NULL"
"pioneer","electro-mechanical","","","1975 gottlieb","greywolf","NULL"
"pirate gold","electro-mechanical","","","1969 chicago coin machine mfg. co.","davidsss","NULL"
"pirate gold","electro-mechanical","","","1969 chicago coin machine mfg. co.","davidsss","NULL"
"pistol poker","vpinmame","8.0","3","1993 alvin g & co.","joep tab destruk","aj"
"pitbull","original","","","2003","wrenchien","NULL"
"pitch ball","non pinball game","9.0","1","1972 satomi","marc sagovac aka obx001 and duglis","NULL"
"plan 9 from outer space","original","","","2001","clean richards/erwin","NULL"
"planet ball","historic","6.0","1","1931 bingo novelty","w. degelmann / druadic","irpinball"
"planet of the apes","original","7.5","2","2003","brett warner (brettski)","NULL"
"planet probe","original","","","2001","marcos hedges","NULL"
"planetarium","original","","","2002","cold1","NULL"
"play mates","electro-mechanical","7.0","1","1968 gottlieb","jay phillips","NULL"
"playboy - stern 2001","vpinmame","9.0","1","2001 stern pinball inc.","destruk/tab","aj"
"playboy 35th anniversary","vpinmame","5.0","1","1989 data east usa inc.","tab destruk","aj"
"playboy","solid state","","","1978 bally manufacturing corporation","jouster & madgun","NULL"
"playboy","vpinmame","7.6","9","1978 bally manufacturing corporation","jouster & gaston","aj"
"playground","original","","","2001","?","NULL"
"plinko","original","","","2002","-","NULL"
"plung","original","","","2002","jogo","NULL"
"podrace","original","","","2002","rc foreman","NULL"
"poker face","original","","","2003","jeff block","NULL"
"pokerino","solid state","","","1978 williams electronics inc.","dave sanders","NULL"
"pokerino","vpinmame","","","1978 williams electronics inc.","tomb eala dubh sidhe destruk","aj"
"polar explorer","vpinmame","","","1983 taito","destruk & luvthatapex","aj"
"pole position","original","2.0","2","2003","dave sanders","NULL"
"police force","vpinmame","7.8","4","1989 williams_electronic games inc.","destruk & aj","aj"
"polo","electro-mechanical","7.5","2","1970 gottlieb","gottlieb","NULL"
"pooh bear","original","","","2002","kirsty simpson","NULL"
"pool champion","vpinmame","5.0","1","1985 zaccaria (italy)","luvthatapex","aj"
"pool sharks","vpinmame","8.3","3","1990 midway mfg. co. a subsidiary of wms industries inc.","xtrememameliodesangelluvthatapexdestruk","aj"
"pop-a-card","electro-mechanical","9.0","2","1972 gottlieb","bendigo","NULL"
"popcorn chicken","original","","","2003","wrenchien","NULL"
"popcorn","original","5.0","1","2002","wrenchien","NULL"
"popeye saves the earth","vpinmame","9.3","4","1994 midway mfg. co. a subsidiary of wms industries inc.","joep van de velden","aj"
"porta homie","original","","","2001","?","NULL"
"post time","electro-mechanical","","","1969 williams electronics inc.","bendigo","NULL"
"pothead pinball","original","6.0","1","2001","steveir","NULL"
"power play","solid state","","","1977 bally manufacturing corporation","kinsey and ripleyyy","NULL"
"power play","vpinmame","","","1977 bally manufacturing corporation","tab","aj"
"power puff girls","original","","","2001","cold1","NULL"
"pre school talking olive head","original","","","2003","-","NULL"
"precaryous","original","5.0","1","2002","wrenchien","NULL"
"preview","electro-mechanical","","","1962 gottlieb","marc bouchard","NULL"
"pro football","electro-mechanical","5.0","1","1973 gottlieb","dave mackey & robair","NULL"
"pro golf","original","","","2001","noah neumann","NULL"
"pro pool","electro-mechanical","4.5","2","1973 gottlieb","druadic","NULL"
"professional pinball challenger v","vpinmame","","","1981 geiger-automaten gmbh (germany)","tab/destruk","aj"
"professional pinball challenger1","vpinmame","","","1981 geiger-automaten gmbh (germany)","tab","aj"
"prospector","electro-mechanical","","","1977 sonic","eala dubh","NULL"
"proxy fight","original","","","2002","deuce","NULL"
"psyche's dream","original","7.5","2","2002","sphere","NULL"
"psycho movie pinball","original","8.0","1","2001","zach cassias","NULL"
"psycho pinball - wild west","computer game remake","","","1995 codemasters","mimuklas","NULL"
"puddin' head","electro-mechanical","4.0","1","1948 genco mfg. co.","duglis","NULL"
"punch out","original","7.0","2","2001","mikepin74","NULL"
"punchy the clown","vpinmame","7.0","1","1993 alvin g & co.","destruk/tab","aj"
"punk!","vpinmame","7.0","1","1982 gottlieb","destruk","aj"
"putt putt","original","","","2002","?","NULL"
"q-bert's quest","vpinmame","","","1983 gottlieb","tab","aj"
"quarterback (bally 1975)","electro-mechanical","","","1975 bally manufacturing corporation","ash","NULL"
"quartette","electro-mechanical","4.0","1","1952 gottlieb","furio","NULL"
"queen of denial","original","","","2003","wrenchien","NULL"
"queen of diamonds","electro-mechanical","","","1959 gottlieb","leon spalding (leo wanker)","NULL"
"queen of hearts","electro-mechanical","","","1952 gottlieb","igo wayback karen anderson & christopher drum (art)","NULL"
"quick draw","electro-mechanical","8.0","2","1975 gottlieb","brettski & luvthatapex","NULL"
"quickness","original","","","2002","wrenchien","NULL"
"quicksilver","solid state","","","1980 stern electronics inc.","joe entropy","NULL"
"quicksilver","vpinmame","","","1980 stern electronics inc.","joe entropy","aj"
"quidditch madness","original","","","2002","bublehead","NULL"
"quite a riot","original","","","2002","wrenchien","NULL"
"rack 'em up","vpinmame","7.0","3","1983 gottlieb / mylstar electronics","luvthatapex","aj"
"radical!","vpinmame","","","1990 midway mfg. co. a subsidiary of wms industries inc.","lio/destruk/tab","aj"
"raid on nietesorg","original","","","2003","wrenchien","NULL"
"raid the","solid state","7.0","1","1984 playmatic","eala dubh","NULL"
"rain spinner","original","","","2003","wrenchien","NULL"
"rainbow wizard","original","","","2004","tony381","NULL"
"rainbows end","original","","","2003","anthias","NULL"
"rally","vpinmame","","","1980 taito do brasil","pebo apocalypse destruk","aj"
"rancho","electro-mechanical","","","1977 williams electronics inc.","compufox","NULL"
"ranma 1/2","original","","","2002","anthias","NULL"
"ranma","original","","","2001","sir talen","NULL"
"rapid fire","vpinmame","6.5","2","1982 bally manufacturing corporation","gaston destruk tab & kristian inkochnito","aj"
"rapid vienna kick'n'roll v.1","original","","","2003","walter dervito aka starman7007","NULL"
"rapid vienna kick'n'roll","original","8.3","3","2003","walter dervito aka starman7007","NULL"
"rat race","vpinmame","5.0","1","1983 williams electronics inc.","tomb gaston destruk","aj"
"rated pg","original","9.0","1","2003","bob","NULL"
"rave town 2","original","","","2003","wrenchien","NULL"
"rave town 3","original","","","2003","wrenchien","NULL"
"rave town","original","","","2003","wrenchien","NULL"
"raven","vpinmame","7.0","2","1986 gottlieb / premier","destruk and tab","aj"
"rawhide","historical","7.0","1","1977 stern","destruk/tab","irpinball"
"rawpin","original","","","2002","tii","NULL"
"rayman","original","","","2004","ripleyyy","NULL"
"raz-ma-taz","original","","","2002","terry briggs","NULL"
"reach the green","original","","","2003","martin mortimer","NULL"
"reactions bagatelle","original","","","2003","tiltjlp","NULL"
"reactor","original","6.5","2","2001","robbway","NULL"
"ready...aim...fire!","vpinmame","7.0","1","1983 gottlieb / mylstar electronics","tab","aj"
"real","vpinmame","","","1978 game plan inc.","destruk and skalar","aj"
"red & ted's road show","vpinmame","8.0","12","1994 williams_electronic games inc.","jamin","aj"
"red dragon","original","","","2001","sphere","NULL"
"red eye","original","","","2002","wrenchien","NULL"
"red rocket","original","","","2003","tii","NULL"
"red white and blue","flipperless","5.3","3","1942 success games inc.","druadic","pinball nirvana"
"reef dive","original","","","2004","dizzidi and anthias","NULL"
"relax","original","","","2002","pee-jay","NULL"
"ren&stimpy","original","","","2002","tii","NULL"
"republican pinball","original","","","2003","plotz","NULL"
"rescue 911","vpinmame","9.0","1","1994 gottlieb / premier","pingoddestrukjoep","aj"
"reserve","flipperless","7.0","1","1938 bally manufacturing corporation","redswal","pinball nirvana"
"resident evil factory","original","6.5","2","2002","mitchell","NULL"
"resident evil","original","","","2002","mitchell","NULL"
"retropunk","original","","","2002","tii","NULL"
"revenge of the gator","original","","","2002","majikbubble","NULL"
"revenge of the robot warriors","computer game remake","7.0","1","? ?","destruk","NULL"
"rgb","original","","","2002","nashua and wayne","NULL"
"rhythm apparatus of dr. frankenstein the","original","","","2001","gobi","NULL"
"riding the rails","original","6.0","1","2002","efnmodem","NULL"
"ringer","original","","","2003","wrenchien","NULL"
"rio","electro-mechanical","6.0","2","1977 playmatic","eala dubh","NULL"
"rising steps","original","","","2003","jeff block","NULL"
"river ride","original","","","2003","andrew mortimer","NULL"
"riverboat gambler","vpinmame","7.6","7","1990 williams_electronic games inc.","wpcmame/duglis/guittar","aj"
"rivet","original","","","2002","tii","NULL"
"road kings","vpinmame","7.7","3","1986 williams_electronic games inc.","group","aj"
"road race","electro-mechanical","7.0","1","1969 gottlieb","bendigo","NULL"
"road runner","solid state","","","1979 atari","aussie34 & tab","NULL"
"road runner","vpinmame","6.0","2","1979 atari","aussie34 tab destruk","aj"
"road to hell","original","","","2002","tii","NULL"
"rob zombie pinball","original","","","2002","spacemanspiff","NULL"
"robocod","original","","","2002","hugh","NULL"
"robocop","vpinmame","8.5","6","1990 data east usa inc.","cyborg subzero1970 destruk","aj"
"robot","vpinmame","6.0","1","1983 zaccaria (italy)","luvthatapex","aj"
"robo-war","vpinmame","","","1988 gottlieb / premier","destruk and mnpg","aj"
"rock fantasy","computer game remake","6.5","2","? epic megagames","erwin","NULL"
"rock island","original","","","2003","paul e l","NULL"
"rock 'n' roll","original","","","2003","javajack","NULL"
"rocket dog","original","","","2003","tii","NULL"
"rocket ship","electro-mechanical","","","1958 gottlieb","steveir & duglis","NULL"
"rocket","electro-mechanical","","","1959 williams electronic manufacturing co.","leon spalding  (leo wanker)","NULL"
"rocketman 1952","original","7.0","1","2003","mack1 & titljlp","NULL"
"rocket","original","7.0","1","2002","tii","NULL"
"rock","vpinmame","8.0","3","1985 gottlieb / premier","mnpg","aj"
"rocky girl","electro-mechanical","","","1979 giuliano lodola","redswal","NULL"
"rocky","solid state","","","1982 gottlieb","gerhard & crew","NULL"
"rocky","vpinmame","7.0","1","1982 gottlieb","gerhard & germax","aj"
"rogo","electro-mechanical","","","1973 bally manufacturing corporation","ash","NULL"
"roller ball","original","","","2003","alexandre moreira","NULL"
"roller coaster tycoon","vpinmame","6.5","4","2002 stern pinball inc.","destruk / tab","aj"
"roller coaster","electro-mechanical","7.5","2","1971 gottlieb","(brettski) brett warner","NULL"
"roller disco","solid state","7.0","1","1980 gottlieb","eala dubh","NULL"
"rollergames","vpinmame","","","1990 williams_electronic games inc.","cyborg & mrhide","aj"
"rolling stones","solid state","","","1979 bally manufacturing corporation","eala dubh","NULL"
"rolling stones","vpinmame","6.0","5","1979 bally manufacturing corporation","destruk & kristian","aj"
"roman history","original","","","2003","dizzidi","NULL"
"rotation viii","vpinmame","8.0","1","1978 midway manufacturing company","gaston  destruk skalar","aj"
"rotator","original","","","2002","blz","NULL"
"round table","original","","","2003","dizzidi","NULL"
"roundup","electro-mechanical","8.0","5","1971 bally manufacturing corporation","kurt herman aka scapino","NULL"
"royal flush deluxe","vpinmame","6.5","2","1983 gottlieb","hugh/destruk","aj"
"royal flush","electro-mechanical","6.3","4","1976 gottlieb","hugh janus","NULL"
"rugrats","original","","","2002","chase","NULL"
"rumble the","original","5.0","1","2001","gobi","NULL"
"runescape2","original","","","2004","olsen productions","NULL"
"runroses","original","","","2004","wrenchien","NULL"
"ryoko","original","","","2003","anthias","NULL"
"s' kate i.","original","","","2003","wrenchien","NULL"
"sabrina online","original","","","2003","ian williams","NULL"
"safari","computer game remake","8.5","2","2001","destruk","NULL"
"safari","electro-mechanical","","","1966 bally manufacturing corporation","tigertrail","NULL"
"safe cracker","vpinmame","7.8","5","1996 midway mfg. co. a subsidiary of wms industries inc.","boris mr.pinball rev063","aj"
"samba","electro-mechanical","","","1961 alben (france)","redswal","NULL"
"sanbenedetto combination the","original","3.0","1","2002","operatore07","NULL"
"santa '03","original","","","2003","bob5453","NULL"
"santa","original","","","2003","tii","NULL"
"satanic verses","original","","","2002","makin","NULL"
"satellite","solid state","6.0","1","1978 cea bologna","eala dubh","NULL"
"satin doll","electro-mechanical","7.0","1","1975 williams electronics inc.","leon spalding","NULL"
"saturn 5","electro-mechanical","6.0","1","2001","sphere","NULL"
"scared stiff","vpinmame","8.2","10","1996 midway mfg. co. a subsidiary of wms industries inc.","dr-doom","aj"
"scarf","original","","","2003","wrenchien","NULL"
"scooby doo","original","","","2001","imperical","NULL"
"score-board","electro-mechanical","","","1956 gottlieb","redswal","NULL"
"scorpion","vpinmame","7.0","2","1980 williams electronics inc.","kristian andre needham","aj"
"scramball","electro-mechanical","6.0","2","1958 jh keeney and co.","druadic","NULL"
"scramble","vpinmame","6.0","1","1987 technoplay","tab/destruk/pacdude","aj"
"screamin' demon","original","","","2003","dayzt pinball","NULL"
"scuba","electro-mechanical","","","1970 gottlieb","robair","NULL"
"sea jockeys","electro-mechanical","8.0","1","1951 williams  manufacturing company","duglis","NULL"
"sea ray","electro-mechanical","7.0","1","1970 bally manufacturing corporation","lander","NULL"
"sea witch","vpinmame","5.0","2","1980 stern electronics inc.","destruk & tab","aj"
"sea wolf","electro-mechanical","6.5","2","1959 williams electronic manufacturing co.","duglis & c. drum art","NULL"
"search4","original","","","2002","makin","NULL"
"secret service","vpinmame","6.0","2","1988 data east usa inc.","cyborg","aj"
"secrets of the temple","original","8.0","1","2001","tpillow","NULL"
"see saw","electro-mechanical","7.0","2","1970 bally manufacturing corporation","ash","NULL"
"september sunset","original","","","2002","terry briggs","NULL"
"serenade","electro-mechanical","","","1960 williams electronic manufacturing co.","marc bouchard","NULL"
"seven seas","electro-mechanical","7.0","1","1959 gottlieb","duglis & eala dubh","NULL"
"seven up","flipperless","6.0","1","1941 genco mfg. co.","eric steinhardt john l patton russ jensen","pinball nirvana"
"seventies","original","6.0","1","2002","andrew mortimer","NULL"
"sexy girl","solid state","","","1980 arcon (germany)","gerhard & crew","NULL"
"sexy girl","vpinmame","5.0","1","1980 arcon (germany)","mickey","aj"
"shake shake shake","original","","","2003","wrenchien","NULL"
"shallow mar","original","","","2002","wrenchien","NULL"
"shangri-la","electro-mechanical","7.3","3","1967 williams electronics inc.","robair/leon spalding","NULL"
"shantytown","electro-mechanical","","","1949 exhibit supply co.","philbert","NULL"
"shaq attaq","vpinmame","7.8","4","1995 gottlieb / premier","joep","aj"
"shark (hankin)","solid state","","","1980 a. hankin & co.","aussie34","NULL"
"shark (hankin)","vpinmame","","","1980 a. hankin & co.","aussie34","aj"
"shark (taito)","vpinmame","5.0","1","1982 taito do brasil","dox & maloti","aj"
"sharkey's shootout","vpinmame","9.0","2","2000 stern pinball inc.","destruk tab","aj"
"sharpshooter ii","vpinmame","","","1983 game plan inc.","destruk tab eala dubh sidhe aussie34","aj"
"sharpshooter","solid state","","","1979 game plan inc.","aussie34 & eala dubh","NULL"
"sharpshooter","vpinmame","6.0","1","1979 game plan inc.","eala dubh aussie34 destruk","aj"
"shenmue ii","original","5.0","1","2001","bela & gobi","NULL"
"sheriff","electro-mechanical","6.5","2","1971 gottlieb","hugh janus","NULL"
