"collegesort","citysort","representativesort","statesort","district","zip codesort"
"community college of beaver county","monaca","melissa a. hart","pa","4","15061"
"westminister college","new wilmington","melissa a. hart","pa","4","16172"
"oakbridge academy of arts","lower burrell","melissa a. hart","pa","4","15068"
"geneva college","beaver falls","melissa a. hart","pa","4","15010"
"lock haven university of pennsylvania","lock haven","john e. peterson","pa","5","17745"
"south hills school of business & technology","state college","john e. peterson","pa","5","16801"
"clarion university of pennsylvania","clarion","john e. peterson","pa","5","16214"
"dubois business college","dubois","john e. peterson","pa","5","15801"
"mansfield university of pennsylvania","mansfield","john e. peterson","pa","5","16933"
"university of pittsburgh - bradford","bradford","john e. peterson","pa","5","16701"
"north central industrial technical education center","ridgway","john e. peterson","pa","5","15853"
"pennsylvania state university (the)","university park","john e. peterson","pa","5","16802"
"university of pittsburgh at titusville","titusville","john e. peterson","pa","5","16354"
"triangle tech","du bois","john e. peterson","pa","5","15801"
"berks technical institute","wyomissing","jim gerlach","pa","6","19610"
"ursinus college","collegeville","jim gerlach","pa","6","19426"
"cabrini college","radnor","jim gerlach","pa","6","19087"
"alvernia college","reading","jim gerlach","pa","6","19607"
"saint charles borromeo seminary","wynnewood","jim gerlach","pa","6","19096"
"rosemont college","rosemont","jim gerlach","pa","6","19010"
"albright college","reading","jim gerlach","pa","6","19612"
"valley forge christian college","phoenixville","jim gerlach","pa","6","19460"
"eastern baptist theological seminary","wynnewood","jim gerlach","pa","6","19096"
"bryn mawr college","bryn mawr","jim gerlach","pa","6","19010"
"cheyney university of pennsylvania","cheyney","curt weldon","pa","7","19319"
"villanova university","villanova","curt weldon","pa","7","19085"
"pennsylvania institute of technology","media","curt weldon","pa","7","19063"
"neumann college","aston","curt weldon","pa","7","19014"
"eastern university","st davids","curt weldon","pa","7","19087"
"pja school","upper darby","curt weldon","pa","7","19082"
"delaware county community college","media","curt weldon","pa","7","19063"
"chi institute/rets campus","broomall","curt weldon","pa","7","19008"
"immaculata college","immaculata","curt weldon","pa","7","19345"
"valley forge military college","wayne","curt weldon","pa","7","19087"
"swarthmore college","swarthmore","curt weldon","pa","7","19081"
"haverford college","haverford","curt weldon","pa","7","19041"
"pennco tech","bristol","michael g. fitzpatrick","pa","8","19007"
"delaware valley college of science & agriculture","doylestown","michael g. fitzpatrick","pa","8","18901"
"bucks county school of beauty culture","feasterville","michael g. fitzpatrick","pa","8","19053"
"chi institute - southampton","southampton","michael g. fitzpatrick","pa","8","18966"
"philadelphia biblical university","langhorne","michael g. fitzpatrick","pa","8","19047"
"bucks county community college","newtown","michael g. fitzpatrick","pa","8","18940"
"saint francis university","loretto","bill shuster","pa","9","15940"
"wilson college","chambersburg","bill shuster","pa","9","17201"
"juniata college","huntingdon","bill shuster","pa","9","16652"
"keystone college","la plume","don sherwood","pa","10","18440"
"bucknell university","lewisburg","don sherwood","pa","10","17837"
"newport business institute","williamsport","don sherwood","pa","10","17701"
"baptist bible college of pennsylvania","clarks summit","don sherwood","pa","10","18411"
"pennsylvania college of technology","williamsport","don sherwood","pa","10","17701"
"college misericordia","dallas","don sherwood","pa","10","18612"
"susquehanna university","selinsgrove","don sherwood","pa","10","17870"
"lycoming college","williamsport","don sherwood","pa","10","17701"
"wilkes university","wilkes-barre","paul e. kanjorski","pa","11","18766"
"luzerne county community college","nanticoke","paul e. kanjorski","pa","11","18634"
"lackawanna college","scranton","paul e. kanjorski","pa","11","18509"
"east stroudsburg university of pennsylvania","east stroudsburg","paul e. kanjorski","pa","11","18301"
"kings college","wilkes-barre","paul e. kanjorski","pa","11","18711"
"university of scranton","scranton","paul e. kanjorski","pa","11","18510"
"johnson college","scranton","paul e. kanjorski","pa","11","18508"
"bloomsburg university of pennsylvania","bloomsburg","paul e. kanjorski","pa","11","17815"
"allied medical and technical careers","forty fort","paul e. kanjorski","pa","11","18704"
"marywood university","scranton","paul e. kanjorski","pa","11","18509"
"yeshivath beth moshe","scranton","paul e. kanjorski","pa","11","18505"
"pennsylvania commercial college","washington","john p. murtha","pa","12","15301"
"mount aloysius college","cresson","john p. murtha","pa","12","16630"
"cambria rowe business college","johnstown","john p. murtha","pa","12","15902"
"saint vincent college & seminary","latrobe","john p. murtha","pa","12","15650"
"waynesburg college","waynesburg","john p. murtha","pa","12","15370"
"career training academy","new kensington","john p. murtha","pa","12","15068"
"commonwealth technical institute","johnstown","john p. murtha","pa","12","15905"
"cambria county area community college","johnstown","john p. murtha","pa","12","15901"
"california university of pennsylvania","california","john p. murtha","pa","12","15419"
"washington and jefferson college","washington","john p. murtha","pa","12","15301"
"douglas education center","monessen","john p. murtha","pa","12","15062"
"university of pittsburgh at johnstown","johnstown","john p. murtha","pa","12","15904"
"indiana university of pennsylvania","indiana","john p. murtha","pa","12","15705"
"laurel business institute","uniontown","john p. murtha","pa","12","15401"
"gwynedd-mercy college","gwynedd valley","allyson y. schwartz","pa","13","19437"
"holy family university","philadelphia","allyson y. schwartz","pa","13","19114"
"antonelli institute","erdenheim","allyson y. schwartz","pa","13","19038"
"montgomery county community college","blue bell","allyson y. schwartz","pa","13","19422"
"orleans technical institute","philadelphia","allyson y. schwartz","pa","13","19111"
"harcum college","bryn mawr","allyson y. schwartz","pa","13","19010"
"lansdale school of business","north wales","allyson y. schwartz","pa","13","19454"
"lincoln technical institute","philadelphia","allyson y. schwartz","pa","13","19136"
"manor college","jenkintown","allyson y. schwartz","pa","13","19046"
"academy of the new church","bryn athyn","allyson y. schwartz","pa","13","19009"
"international academy of design and technology","pittsburgh","michael f. doyle","pa","14","15219"
"triangle tech","pittsburgh","michael f. doyle","pa","14","15214"
"community college of allegheny county","pittsburgh","michael f. doyle","pa","14","15212"
"pittsburgh institute of mortuary science","pittsburgh","michael f. doyle","pa","14","15206"
"university of pittsburgh - pittsburgh","pittsburgh","michael f. doyle","pa","14","15260"
"dean institute of technology","pittsburgh","michael f. doyle","pa","14","15226"
"median school of allied health careers","pittsburgh","michael f. doyle","pa","14","15222"
"art institute of pittsburgh (the)","pittsburgh","michael f. doyle","pa","14","15219"
"bradford school","pittsburgh","michael f. doyle","pa","14","15219"
"carlow college","pittsburgh","michael f. doyle","pa","14","15213"
"reformed presbyterian theological seminary","pittsburgh","michael f. doyle","pa","14","15208"
"pittsburgh institute of aeronautics","west mifflin","michael f. doyle","pa","14","15122"
"bidwell training center","pittsburgh","michael f. doyle","pa","14","15233"
"point park university","pittsburgh","michael f. doyle","pa","14","15222"
"icm school of business and medical careers","pittsburgh","michael f. doyle","pa","14","15222"
"western school of health & business careers","pittsburgh","michael f. doyle","pa","14","15219"
"rosedale technical institute","pittsburgh","michael f. doyle","pa","14","15217"
"carnegie mellon university","pittsburgh","michael f. doyle","pa","14","15213"
"pittsburgh theological seminary","pittsburgh","michael f. doyle","pa","14","15206"
"duquesne university of the holy spirit","pittsburgh","michael f. doyle","pa","14","15282"
"chatham college","pittsburgh","michael f. doyle","pa","14","15232"
"pennsylvania institute of culinary arts","pittsburgh","michael f. doyle","pa","14","15222"
"duff's business institute","pittsburgh","michael f. doyle","pa","14","15222"
"information computer systems institute","allentown","charles w. dent","pa","15","18109"
"lincoln technical institute","allentown","charles w. dent","pa","15","18104"
"desales university","center valley","charles w. dent","pa","15","18034"
"moravian college","bethlehem","charles w. dent","pa","15","18018"
"cedar crest college","allentown","charles w. dent","pa","15","18104"
"lehigh carbon community college","schnecksville","charles w. dent","pa","15","18078"
"allentown business school","center valley","charles w. dent","pa","15","18034"
"lehigh university","bethlehem","charles w. dent","pa","15","18015"
"muhlenberg college","allentown","charles w. dent","pa","15","18104"
"lafayette college","easton","charles w. dent","pa","15","18042"
"northampton community college","bethlehem","charles w. dent","pa","15","18020"
"lincoln university","lincoln university","joseph r. pitts","pa","16","19352"
"franklin & marshall college","lancaster","joseph r. pitts","pa","16","17603"
"lancaster bible college","lancaster","joseph r. pitts","pa","16","17601"
"pace institute","reading","joseph r. pitts","pa","16","19601"
"lancaster theological seminary of the united church of chris","lancaster","joseph r. pitts","pa","16","17603"
"consolidated school of business","lancaster","joseph r. pitts","pa","16","17603"
"millersville university of pennsylvania","millersville","joseph r. pitts","pa","16","17551"
"west chester university of pennsylvania","west chester","joseph r. pitts","pa","16","19383"
"pennsylvania college of art & design","lancaster","joseph r. pitts","pa","16","17603"
"thaddeus stevens college of technology","lancaster","joseph r. pitts","pa","16","17602"
"elizabethtown college","elizabethtown","joseph r. pitts","pa","16","17022"
"reading area community college","reading","joseph r. pitts","pa","16","19602"
"schuylkill institute of business & technology","pottsville","tim holden","pa","17","17901"
"thompson institute","harrisburg","tim holden","pa","17","17111"
"electronic institutes","middletown","tim holden","pa","17","17057"
"mccann school of business & technology","pottsville","tim holden","pa","17","17901"
"harrisburg area community college","harrisburg","tim holden","pa","17","17110"
"lebanon valley college","annville","tim holden","pa","17","17003"
"kutztown university of pennsylvania","kutztown","tim holden","pa","17","19530"
"academy of medical arts and business","harrisburg","tim holden","pa","17","17112"
"evangelical school of theology","myerstown","tim holden","pa","17","17067"
"westmoreland county community college","youngwood","tim murphy","pa","18","15697"
"robert morris university","moon township","tim murphy","pa","18","15108"
"seton hill university","greensburg","tim murphy","pa","18","15601"
"pittsburgh technical institute","oakdale","tim murphy","pa","18","15071"
"triangle tech","greensburg","tim murphy","pa","18","15601"
"yorktowne business institute","york","todd russell platts","pa","19","17404"
"lutheran theological seminary - gettysburg","gettysburg","todd russell platts","pa","19","17325"
"central pennsylvania college","summerdale","todd russell platts","pa","19","17093"
"york college of pennsylvania","york","todd russell platts","pa","19","17405"
"bradley academy for the visual arts","york","todd russell platts","pa","19","17402"
"gettysburg college","gettysburg","todd russell platts","pa","19","17325"
"messiah college","grantham","todd russell platts","pa","19","17027"
"consolidated school of business","york","todd russell platts","pa","19","17404"
"york technical institute","york","todd russell platts","pa","19","17402"
"shippensburg university of pennsylvania","shippensburg","todd russell platts","pa","19","17257"
"dickinson college","carlisle","todd russell platts","pa","19","17013"
"brown university","providence","patrick j. kennedy","ri","1","2912"
"zion bible institute","barrington","patrick j. kennedy","ri","1","2806"
"providence college","providence","patrick j. kennedy","ri","1","2918"
"salve regina university","newport","patrick j. kennedy","ri","1","2840"
"bryant college","smithfield","patrick j. kennedy","ri","1","2917"
"roger williams university","bristol","patrick j. kennedy","ri","1","2809"
"rhode island college","providence","james r. langevin","ri","2","2908"
"new england institute of technology","warwick","james r. langevin","ri","2","2886"
"rhode island school of design","providence","james r. langevin","ri","2","2903"
"community college of rhode island","warwick","james r. langevin","ri","2","2886"
"johnson & wales university","providence","james r. langevin","ri","2","2903"
"university of rhode island","kingston","james r. langevin","ri","2","2881"
"coastal carolina university","conway","henry e. brown jr.","sc","1","29526"
"college of charleston","charleston","henry e. brown jr.","sc","1","29424"
"horry - georgetown technical college","conway","henry e. brown jr.","sc","1","29526"
"trident technical college","north charleston","henry e. brown jr.","sc","1","29423"
"medical university of south carolina","charleston","henry e. brown jr.","sc","1","29425"
"charleston southern university","charleston","henry e. brown jr.","sc","1","29406"
"technical college of the lowcountry- beaufort campus","beaufort","joe wilson","sc","2","29902"
"university of south carolina - salkehatchie","allendale","joe wilson","sc","2","29810"
"university of south carolina - beaufort","beaufort","joe wilson","sc","2","29902"
"midlands technical college","west columbia","joe wilson","sc","2","29170"
"aiken technical college","aiken","j. gresham barrett","sc","3","29802"
"lander university","greenwood","j. gresham barrett","sc","3","29649"
"clemson university","clemson","j. gresham barrett","sc","3","29634"
"anderson college","anderson","j. gresham barrett","sc","3","29621"
"university of south carolina - aiken","aiken","j. gresham barrett","sc","3","29801"
"piedmont technical college","greenwood","j. gresham barrett","sc","3","29648"
"southern wesleyan university","central","j. gresham barrett","sc","3","29630"
"presbyterian college","clinton","j. gresham barrett","sc","3","29325"
"tri-county technical college","pendleton","j. gresham barrett","sc","3","29670"
"erskine college","due west","j. gresham barrett","sc","3","29639"
"forrest junior college","anderson","j. gresham barrett","sc","3","29624"
"wofford college","spartanburg","bob inglis","sc","4","29303"
"greenville technical college","greenville","bob inglis","sc","4","29607"
"spartanburg technical college","spartanburg","bob inglis","sc","4","29305"
"converse college","spartanburg","bob inglis","sc","4","29302"
"north greenville college","tigerville","bob inglis","sc","4","29688"
"university of south carolina - union","union","bob inglis","sc","4","29379"
"university of south carolina - spartanburg","spartanburg","bob inglis","sc","4","29303"
"spartanburg methodist college","spartanburg","bob inglis","sc","4","29301"
"furman university","greenville","bob inglis","sc","4","29613"
"sherman college of straight chiropractic","spartanburg","bob inglis","sc","4","29316"
"clinton junior college","rock hill","john m. spratt jr.","sc","5","29730"
"coker college","hartsville","john m. spratt jr.","sc","5","29550"
"limestone college","gaffney","john m. spratt jr.","sc","5","29340"
"newberry college","newberry","john m. spratt jr.","sc","5","29108"
"york technical college","rock hill","john m. spratt jr.","sc","5","29730"
"northeastern technical college","cheraw","john m. spratt jr.","sc","5","29520"
"university of south carolina - sumter","sumter","john m. spratt jr.","sc","5","29150"
"winthrop university","rock hill","john m. spratt jr.","sc","5","29733"
"university of south carolina - lancaster","lancaster","john m. spratt jr.","sc","5","29721"
"florence - darlington technical college","florence","john m. spratt jr.","sc","5","29501"
"central carolina technical college","sumter","john m. spratt jr.","sc","5","29150"
"citadel the military college of south carolina","charleston","james e. clyburn","sc","6","29409"
"allen university","columbia","james e. clyburn","sc","6","29204"
"columbia international university","columbia","james e. clyburn","sc","6","29203"
"south carolina state university","orangeburg","james e. clyburn","sc","6","29117"
"voorhees college","denmark","james e. clyburn","sc","6","29042"
"williamsburg technical college","kingstree","james e. clyburn","sc","6","29556"
"university of south carolina - columbia","columbia","james e. clyburn","sc","6","29208"
"lutheran theological southern seminary","columbia","james e. clyburn","sc","6","29203"
"morris college","sumter","james e. clyburn","sc","6","29150"
"southern methodist college","orangeburg","james e. clyburn","sc","6","29116"
"denmark technical college","denmark","james e. clyburn","sc","6","29042"
"francis marion university","florence","james e. clyburn","sc","6","29506"
"benedict college","columbia","james e. clyburn","sc","6","29204"
"columbia college","columbia","james e. clyburn","sc","6","29203"
"orangeburg - calhoun technical college","orangeburg","james e. clyburn","sc","6","29118"
"claflin university","orangeburg","james e. clyburn","sc","6","29115"
"oglala lakota college","kyle","stephanie herseth","sd","a-l","57752"
"western dakota technical institute","rapid city","stephanie herseth","sd","a-l","57701"
"northern state university","aberdeen","stephanie herseth","sd","a-l","57401"
"mitchell technical institute","mitchell","stephanie herseth","sd","a-l","57301"
"augustana college","sioux falls","stephanie herseth","sd","a-l","57197"
"university of sioux falls","sioux falls","stephanie herseth","sd","a-l","57105"
"university of south dakota","vermillion","stephanie herseth","sd","a-l","57069"
"national american university","rapid city","stephanie herseth","sd","a-l","57701"
"si tanka university","eagle butte","stephanie herseth","sd","a-l","57625"
"presentation college","aberdeen","stephanie herseth","sd","a-l","57401"
"sisseton wahpeton community college","sisseton","stephanie herseth","sd","a-l","57262"
"southeast technical institute","sioux falls","stephanie herseth","sd","a-l","57107"
"kilian community college","sioux falls","stephanie herseth","sd","a-l","57103"
"dakota state university","madison","stephanie herseth","sd","a-l","57042"
"black hills state university","spearfish","stephanie herseth","sd","a-l","57799"
"south dakota school of mines & technology","rapid city","stephanie herseth","sd","a-l","57701"
"sinte gleska university","mission","stephanie herseth","sd","a-l","57555"
"dakota wesleyan university","mitchell","stephanie herseth","sd","a-l","57301"
"lake area technical institute","watertown","stephanie herseth","sd","a-l","57201"
"north american baptist seminary","sioux falls","stephanie herseth","sd","a-l","57105"
"mount marty college","yankton","stephanie herseth","sd","a-l","57078"
"south dakota state university","brookings","stephanie herseth","sd","a-l","57007"
"milligan college","milligan college","william l. jenkins","tn","1","37682"
"east tennessee state university","johnson city","william l. jenkins","tn","1","37614"
"walters state community college","morristown","william l. jenkins","tn","1","37813"
"king college","bristol","william l. jenkins","tn","1","37620"
"emmanuel school of religion","johnson city","william l. jenkins","tn","1","37601"
"tusculum college","greeneville","william l. jenkins","tn","1","37743"
"northeast state technical community college","blountville","william l. jenkins","tn","1","37617"
"hiwassee college","madisonville","john j. duncan jr.","tn","2","37354"
"itt technical institute","knoxville","john j. duncan jr.","tn","2","37932"
"maryville college","maryville","john j. duncan jr.","tn","2","37804"
"johnson bible college","knoxville","john j. duncan jr.","tn","2","37998"
"fountainhead college of technology","knoxville","john j. duncan jr.","tn","2","37918"
"tennessee wesleyan college","athens","john j. duncan jr.","tn","2","37371"
"university of tennessee","knoxville","john j. duncan jr.","tn","2","37996"
"south college","knoxville","john j. duncan jr.","tn","2","37917"
"carson - newman college","jefferson city","zach wamp","tn","3","37760"
"chattanooga state technical community college","chattanooga","zach wamp","tn","3","37406"
"tennessee temple university","chattanooga","zach wamp","tn","3","37404"
"church of god theological seminary","cleveland","zach wamp","tn","3","37320"
"lee university","cleveland","zach wamp","tn","3","37311"
"lincoln memorial university","harrogate","zach wamp","tn","3","37752"
"temple baptist seminary","chattanooga","zach wamp","tn","3","37404"
"university of tennessee - chattanooga","chattanooga","zach wamp","tn","3","37403"
"southern adventist university","collegedale","zach wamp","tn","3","37315"
"electronic computer programming college","chattanooga","zach wamp","tn","3","37411"
"psychological studies institute","chattanooga","zach wamp","tn","3","37404"
"bryan college","dayton","zach wamp","tn","3","37321"
"cleveland state community college","cleveland","zach wamp","tn","3","37312"
"roane state community college","harriman","lincoln davis","tn","4","37748"
"martin methodist college","pulaski","lincoln davis","tn","4","38478"
"motlow state community college","tullahoma","lincoln davis","tn","4","37388"
"columbia state community college","columbia","lincoln davis","tn","4","38401"
"university of the south (the)","sewanee","lincoln davis","tn","4","37383"
"free will baptist bible college","nashville","jim cooper","tn","5","37205"
"john a gupton college","nashville","jim cooper","tn","5","37203"
"nossi college of art","goodlettsville","jim cooper","tn","5","37072"
"vanderbilt university","nashville","jim cooper","tn","5","37240"
"itt technical institute","nashville","jim cooper","tn","5","37214"
"national college of business and technology","nashville","jim cooper","tn","5","37211"
"nashville state technical community college","nashville","jim cooper","tn","5","37209"
"american baptist theological seminary","nashville","jim cooper","tn","5","37207"
"aquinas college","nashville","jim cooper","tn","5","37205"
"middle tennessee school of anesthesia","madison","jim cooper","tn","5","37116"
"watkins institute college of art & design","nashville","jim cooper","tn","5","37228"
"belmont university","nashville","jim cooper","tn","5","37212"
"trevecca nazarene university","nashville","jim cooper","tn","5","37210"
"meharry medical college","nashville","jim cooper","tn","5","37208"
"nashville auto diesel college","nashville","jim cooper","tn","5","37206"
"david lipscomb university","nashville","jim cooper","tn","5","37204"
"cumberland university","lebanon","jim cooper","tn","5","37087"
"draughons junior college","nashville","jim cooper","tn","5","37217"
"southeastern career college","nashville","jim cooper","tn","5","37212"
"tennessee state university","nashville","jim cooper","tn","5","37209"
"fisk university","nashville","jim cooper","tn","5","37208"
"medvance institute","cookeville","bart gordon","tn","6","38501"
"middle tennessee state university","murfreesboro","bart gordon","tn","6","37132"
"tennessee technological university","cookeville","bart gordon","tn","6","38505"
"volunteer state community college","gallatin","bart gordon","tn","6","37066"
"freed hardeman university","henderson","marsha blackburn","tn","7","38340"
"north central institute","clarksville","marsha blackburn","tn","7","37042"
"williamson christian college","franklin","marsha blackburn","tn","7","37067"
"miller - motte technical college","clarksville","marsha blackburn","tn","7","37040"
"o'more college of design","franklin","marsha blackburn","tn","7","37064"
"union university","jackson","john s. tanner","tn","8","38305"
"west tennessee business college","jackson","john s. tanner","tn","8","38301"
"bethel college","mckenzie","john s. tanner","tn","8","38201"
"lane college","jackson","john s. tanner","tn","8","38301"
"jackson state community college","jackson","john s. tanner","tn","8","38301"
"dyersburg state community college","dyersburg","john s. tanner","tn","8","38025"
"lambuth university","jackson","john s. tanner","tn","8","38301"
"university of tennessee - martin","martin","john s. tanner","tn","8","38238"
"austin peay state university","clarksville","john s. tanner","tn","8","37044"
"lemoyne - owen college","memphis","harold e. ford jr.","tn","9","38126"
"memphis theolgical seminary","memphis","harold e. ford jr.","tn","9","38104"
"southern college of optometry","memphis","harold e. ford jr.","tn","9","38104"
"southwest tennessee community college","memphis","harold e. ford jr.","tn","9","38104"
"university of memphis (the)","memphis","harold e. ford jr.","tn","9","38152"
"rhodes college","memphis","harold e. ford jr.","tn","9","38112"
"memphis college of art","memphis","harold e. ford jr.","tn","9","38104"
"baptist memorial college of health sciences","memphis","harold e. ford jr.","tn","9","38104"
"pellissippi state technical community college","knoxville","harold e. ford jr.","tn","9","37933"
"concorde career college","memphis","harold e. ford jr.","tn","9","38137"
"crichton college","memphis","harold e. ford jr.","tn","9","38111"
"christian brothers university","memphis","harold e. ford jr.","tn","9","38104"
"william r  moore college of technology","memphis","harold e. ford jr.","tn","9","38104"
"stephen f austin state university","nacogdoches","louie gohmert","tx","1","75962"
"panola college","carthage","louie gohmert","tx","1","75633"
"letourneau university","longview","louie gohmert","tx","1","75602"
"east texas baptist university","marshall","louie gohmert","tx","1","75670"
"tyler junior college","tyler","louie gohmert","tx","1","75701"
"angelina college","lufkin","louie gohmert","tx","1","75904"
"wiley college","marshall","louie gohmert","tx","1","75670"
"texas state technical college marshall","marshall","louie gohmert","tx","1","75672"
"texas college","tyler","louie gohmert","tx","1","75702"
"kilgore college","kilgore","louie gohmert","tx","1","75662"
"lamar state college - port arthur","port arthur","ted poe","tx","2","77640"
"lamar university","beaumont","ted poe","tx","2","77710"
"north harris montgomery community college district","houston","ted poe","tx","2","77073"
"lamar institute of technology","beaumont","ted poe","tx","2","77705"
"university of texas at dallas","richardson","sam johnson","tx","3","75080"
"collin county community college","mckinney","sam johnson","tx","3","75070"
"richland college","dallas","sam johnson","tx","3","75243"
"northeast texas community college","mount pleasant","ralph m. hall","tx","4","75456"
"grayson county college","denison","ralph m. hall","tx","4","75020"
"texas a&m university - commerce","commerce","ralph m. hall","tx","4","75429"
"texarkana college","texarkana","ralph m. hall","tx","4","75599"
"austin college","sherman","ralph m. hall","tx","4","75090"
"texas a & m university - texarkana","texarkana","ralph m. hall","tx","4","75501"
"paris junior college","paris","ralph m. hall","tx","4","75460"
"lon morris college","jacksonville","jeb hensarling","tx","5","75766"
"jarvis christian college","hawkins","jeb hensarling","tx","5","75765"
"southwestern christian college","terrell","jeb hensarling","tx","5","75160"
"jacksonville college","jacksonville","jeb hensarling","tx","5","75766"
"eastfield college","mesquite","jeb hensarling","tx","5","75150"
"baptist missionary association theological seminary","jacksonville","jeb hensarling","tx","5","75766"
"trinity valley community college","athens","jeb hensarling","tx","5","75751"
"arlington baptist college","arlington","joe barton","tx","6","76012"
"southwestern assemblies of god university","waxahachie","joe barton","tx","6","75165"
"itt technical institute","arlington","joe barton","tx","6","76011"
"university of texas at arlington","arlington","joe barton","tx","6","76013"
"navarro college","corsicana","joe barton","tx","6","75110"
"american college of acupuncture & oriental medicine","houston","john abney culberson","tx","7","77063"
"mti college of business and technology","houston","john abney culberson","tx","7","77036"
"center for advanced legal studies","houston","john abney culberson","tx","7","77098"
"university of saint thomas","houston","john abney culberson","tx","7","77006"
"baylor college of medicine","houston","john abney culberson","tx","7","77030"
"university of texas md anderson cancer center","houston","john abney culberson","tx","7","77030"
"rice university","houston","john abney culberson","tx","7","77005"
"art institute of houston (the)","houston","john abney culberson","tx","7","77056"
"houston community college","houston","john abney culberson","tx","7","77266"
"sam houston state university","huntsville","kevin brady","tx","8","77340"
"lamar state college - orange","orange","kevin brady","tx","8","77630"
"houston baptist university","houston","al green","tx","9","77074"
"remington college - houston campus","houston","al green","tx","9","77082"
"university of texas health science center at houston","houston","al green","tx","9","77030"
"college of biblical studies-houston","houston","al green","tx","9","77036"
"blinn college","brenham","michael t. mccaul","tx","10","77833"
"academy of oriental medicine","austin","michael t. mccaul","tx","10","78757"
"texas culinary academy","austin","michael t. mccaul","tx","10","78758"
"prairie view agricultural & mechanical university","prairie view","michael t. mccaul","tx","10","77446"
"odessa college","odessa","k. michael conaway","tx","11","79764"
"angelo state university","san angelo","k. michael conaway","tx","11","76909"
"howard payne university","brownwood","k. michael conaway","tx","11","76801"
"university of texas of the permian basin","odessa","k. michael conaway","tx","11","79762"
"midland college","midland","k. michael conaway","tx","11","79705"
"texas state technical college west texas","sweetwater","k. michael conaway","tx","11","79556"
"texas christian university","fort worth","kay granger","tx","12","76129"
"tarrant county college district","fort worth","kay granger","tx","12","76102"
"college of saint thomas more","fort worth","kay granger","tx","12","76109"
"university of north texas health science center at fort wort","fort worth","kay granger","tx","12","76107"
"weatherford college","weatherford","kay granger","tx","12","76086"
"midwestern state university","wichita falls","mac thornberry","tx","13","76308"
"clarendon college","clarendon","mac thornberry","tx","13","79226"
"west texas a&m university","canyon","mac thornberry","tx","13","79015"
"vernon college","vernon","mac thornberry","tx","13","76384"
"amarillo college","amarillo","mac thornberry","tx","13","79109"
"frank phillips college","borger","mac thornberry","tx","13","79007"
"university of texas medical branch at galveston","galveston","ron paul","tx","14","77555"
"victoria college (the)","victoria","ron paul","tx","14","77901"
"alvin community college","alvin","ron paul","tx","14","77511"
"university of houston - victoria","victoria","ron paul","tx","14","77901"
"brazosport college","lake jackson","ron paul","tx","14","77566"
"wharton county junior college","wharton","ron paul","tx","14","77488"
"galveston college","galveston","ron paul","tx","14","77550"
"coastal bend college","beeville","rub�n hinojosa","tx","15","78102"
"university of texas - pan american","edinburg","rub�n hinojosa","tx","15","78539"
"texas state technical college - harlingen","harlingen","rub�n hinojosa","tx","15","78550"
"computer career center","el paso","silvestre reyes","tx","16","79925"
"el paso community college","el paso","silvestre reyes","tx","16","79915"
"western technical institute","el paso","silvestre reyes","tx","16","79901"
"international business college","el paso","silvestre reyes","tx","16","79912"
"university of texas at el paso","el paso","silvestre reyes","tx","16","79968"
"border institute of technology","el paso","silvestre reyes","tx","16","79925"
"texas a&m university system health science center","college station","chet edwards","tx","17","77840"
"texas a&m university","college station","chet edwards","tx","17","77843"
"mclennan community college","waco","chet edwards","tx","17","76708"
"southwestern adventist university","keene","chet edwards","tx","17","76059"
"hill college","hillsboro","chet edwards","tx","17","76645"
"baylor university","waco","chet edwards","tx","17","76798"
"texas state technical college","waco","chet edwards","tx","17","76705"
"houston graduate school of theology","houston","sheila jackson-lee","tx","18","77004"
"texas southern university","houston","sheila jackson-lee","tx","18","77004"
"south texas college of law","houston","sheila jackson-lee","tx","18","77002"
"university of houston - downtown","houston","sheila jackson-lee","tx","18","77002"
"academy of health care professions (the)","houston","sheila jackson-lee","tx","18","77018"
"university of houston","houston","sheila jackson-lee","tx","18","77204"
"commonwealth institute of funeral service","houston","sheila jackson-lee","tx","18","77090"
"texas tech university","lubbock","randy neugebauer","tx","19","79409"
"south plains college","levelland","randy neugebauer","tx","19","79336"
"mcmurry university","abilene","randy neugebauer","tx","19","79697"
"ranger college","ranger","randy neugebauer","tx","19","76470"
"texas tech university health sciences center","lubbock","randy neugebauer","tx","19","79430"
"lubbock christian university","lubbock","randy neugebauer","tx","19","79407"
"cisco junior college","cisco","randy neugebauer","tx","19","76437"
"howard college","big spring","randy neugebauer","tx","19","79720"
"wayland baptist university","plainview","randy neugebauer","tx","19","79072"
"abilene christian university","abilene","randy neugebauer","tx","19","79699"
"our lady of the lake university","san antonio","charles a. gonzalez","tx","20","78207"
"northwest vista college","san antonio","charles a. gonzalez","tx","20","78251"
"university of texas health science center at san antonio","san antonio","charles a. gonzalez","tx","20","78229"
"oblate school of theology","san antonio","charles a. gonzalez","tx","20","78216"
"saint mary's university","san antonio","charles a. gonzalez","tx","20","78228"
"university of the incarnate word","san antonio","charles a. gonzalez","tx","20","78209"
"austin presbyterian theological seminary","austin","lamar s. smith","tx","21","78705"
"southwest institute of technology","austin","lamar s. smith","tx","21","78735"
"saint edwards university","austin","lamar s. smith","tx","21","78704"
"trinity university","san antonio","lamar s. smith","tx","21","78212"
"austin graduate school of theology","austin","lamar s. smith","tx","21","78705"
"hallmark institute of aeronautics","san antonio","lamar s. smith","tx","21","78216"
